0.001	0.0685331	0.0685331	0.0685331	0.0685331	2948
0.002	0.0638579	0.0638579	0.0638579	0.0638579	2373
0.003	0.0606786	0.0606786	0.0606786	0.0606786	2053
0.004	0.0554742	0.0554742	0.0554742	0.0554742	1920
0.005	0.0513824	0.0513824	0.0513824	0.0513824	1660
0.006	0.0488197	0.0488197	0.0488197	0.0488197	1605
0.007	0.0443555	0.0443555	0.0443555	0.0443555	1518
0.008	0.045048	0.045048	0.045048	0.045048	1539
0.009	0.0448029	0.0448029	0.0448029	0.0448029	1357
0.01	0.0450667	0.0450667	0.0450667	0.0450667	1407
0.011	0.042392	0.042392	0.042392	0.042392	1298
0.012	0.0395262	0.0395262	0.0395262	0.0395262	1345
0.013	0.0415003	0.0415003	0.0415003	0.0415003	1352
0.014	0.0402587	0.0402587	0.0402587	0.0402587	1234
0.015	0.0384588	0.0384588	0.0384588	0.0384588	1191
0.016	0.0381901	0.0381901	0.0381901	0.0381901	1197
0.017	0.0376883	0.0376883	0.0376883	0.0376883	1110
0.018	0.0347447	0.0347447	0.0347447	0.0347447	1157
0.019	0.0320709	0.0320709	0.0320709	0.0320709	1145
0.02	0.0359532	0.0359532	0.0359532	0.0359532	1085
0.021	0.034743	0.034743	0.034743	0.034743	1088
0.022	0.0336761	0.0336761	0.0336761	0.0336761	1067
0.023	0.0341377	0.0341377	0.0341377	0.0341377	1069
0.024	0.0352328	0.0352328	0.0352328	0.0352328	1024
0.025	0.031788	0.031788	0.031788	0.031788	981
0.026	0.0315651	0.0315651	0.0315651	0.0315651	1100
0.027	0.0310731	0.0310731	0.0310731	0.0310731	1034
0.028	0.0295646	0.0295646	0.0295646	0.0295646	1062
0.029	0.0313095	0.0313095	0.0313095	0.0313095	1056
0.03	0.030446	0.030446	0.030446	0.030446	1061
0.031	0.0313495	0.0313495	0.0313495	0.0313495	1030
0.032	0.0308756	0.0308756	0.0308756	0.0308756	1032
0.033	0.0296366	0.0296366	0.0296366	0.0296366	1070
0.034	0.0282175	0.0282175	0.0282175	0.0282175	1054
0.035	0.0290996	0.0290996	0.0290996	0.0290996	1124
0.036	0.027121	0.027121	0.027121	0.027121	1099
0.037	0.026166	0.026166	0.026166	0.026166	1000
0.038	0.0268027	0.0268027	0.0268027	0.0268027	1024
0.039	0.0286895	0.0286895	0.0286895	0.0286895	1021
0.04	0.0249607	0.0249607	0.0249607	0.0249607	998
0.041	0.0265332	0.0265332	0.0265332	0.0265332	934
0.042	0.0245647	0.0245647	0.0245647	0.0245647	991
0.043	0.0265602	0.0265602	0.0265602	0.0265602	976
0.044	0.0251554	0.0251554	0.0251554	0.0251554	987
