jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.02957 0.02935
all 0.02100 0.02959 0.02920
all 0.02200 0.02986 0.02906
all 0.02300 0.03047 0.02892
all 0.02400 0.03003 0.02878
all 0.02500 0.02941 0.02864
all 0.02600 0.03010 0.02850
all 0.02700 0.02895 0.02836
all 0.02800 0.02770 0.02822
all 0.02900 0.02895 0.02808
all 0.03000 0.02901 0.02794
all 0.03100 0.02817 0.02780
all 0.03200 0.02822 0.02767
all 0.03300 0.02751 0.02753
all 0.03400 0.03211 0.02740
all 0.03500 0.03208 0.02726
all 0.03600 0.02786 0.02713
all 0.03700 0.02849 0.02700
all 0.03800 0.03085 0.02686
all 0.03900 0.02770 0.02673
all 0.04000 0.02878 0.02660
all 0.04100 0.02859 0.02647
all 0.04200 0.02671 0.02634
all 0.04300 0.02683 0.02621
all 0.04400 0.02791 0.02608
all 0.04500 0.02767 0.02595
all 0.04600 0.02649 0.02583
all 0.04700 0.02387 0.02570
all 0.04800 0.02453 0.02557
all 0.04900 0.02641 0.02545
all 0.05000 0.02665 0.02532
all 0.05100 0.02554 0.02520
all 0.05200 0.02408 0.02508
all 0.05300 0.02554 0.02495
all 0.05400 0.02254 0.02483
all 0.05500 0.02344 0.02471
all 0.05600 0.02444 0.02459
all 0.05700 0.02354 0.02447
all 0.05800 0.02439 0.02435
all 0.05900 0.02135 0.02423
all 0.06000 0.02499 0.02411
all 0.06100 0.02188 0.02399
all 0.06200 0.02208 0.02387
all 0.06300 0.02331 0.02375
all 0.06400 0.02087 0.02364
all 0.06500 0.02020 0.02352
all 0.06600 0.01986 0.02341
all 0.06700 0.02267 0.02329
all 0.06800 0.02263 0.02318
all 0.06900 0.02113 0.02306
all 0.07000 0.02200 0.02295
all 0.07100 0.01990 0.02284
all 0.07200 0.02144 0.02272
all 0.07300 0.02116 0.02261
all 0.07400 0.02283 0.02250
all 0.07500 0.02068 0.02239
all 0.07600 0.02223 0.02228
all 0.07700 0.02386 0.02217
all 0.07800 0.02203 0.02206
all 0.07900 0.02086 0.02195
all 0.08000 0.02025 0.02185
all 0.08100 0.02058 0.02174
all 0.08200 0.02136 0.02163
all 0.08300 0.01955 0.02153
all 0.08400 0.02083 0.02142
all 0.08500 0.02074 0.02131
all 0.08600 0.02183 0.02121
all 0.08700 0.02325 0.02111
all 0.08800 0.01898 0.02100
all 0.08900 0.02056 0.02090
all 0.09000 0.02302 0.02080
all 0.09100 0.02115 0.02069
all 0.09200 0.02112 0.02059
all 0.09300 0.02218 0.02049
all 0.09400 0.01920 0.02039
all 0.09500 0.01941 0.02029
all 0.09600 0.02066 0.02019
all 0.09700 0.02164 0.02009
all 0.09800 0.01800 0.01999
all 0.09900 0.02047 0.01989
all 0.10000 0.01874 0.01979
all 0.10100 0.02173 0.01970
all 0.10200 0.01931 0.01960
all 0.10300 0.01974 0.01950
all 0.10400 0.01965 0.01941
all 0.10500 0.01836 0.01931
all 0.10600 0.02069 0.01922
all 0.10700 0.01824 0.01912
all 0.10800 0.01998 0.01903
all 0.10900 0.02010 0.01893
all 0.11000 0.02091 0.01884
all 0.11100 0.01780 0.01875
all 0.11200 0.01966 0.01866
all 0.11300 0.01995 0.01856
all 0.11400 0.01838 0.01847
all 0.11500 0.01980 0.01838
all 0.11600 0.01827 0.01829
all 0.11700 0.01889 0.01820
all 0.11800 0.01977 0.01811
all 0.11900 0.01705 0.01802
all 0.12000 0.01654 0.01793
all 0.12100 0.01681 0.01784
all 0.12200 0.01835 0.01776
all 0.12300 0.01698 0.01767
all 0.12400 0.01735 0.01758
all 0.12500 0.01701 0.01750
all 0.12600 0.01793 0.01741
all 0.12700 0.01782 0.01732
all 0.12800 0.01565 0.01724
all 0.12900 0.01709 0.01715
all 0.13000 0.01791 0.01707
all 0.13100 0.01634 0.01698
all 0.13200 0.01715 0.01690
all 0.13300 0.01707 0.01682
all 0.13400 0.01663 0.01673
all 0.13500 0.01544 0.01665
all 0.13600 0.01484 0.01657
all 0.13700 0.01620 0.01649
all 0.13800 0.01567 0.01641
all 0.13900 0.01473 0.01632
all 0.14000 0.01534 0.01624
all 0.14100 0.01500 0.01616
all 0.14200 0.01497 0.01608
all 0.14300 0.01646 0.01600
all 0.14400 0.01518 0.01593
all 0.14500 0.01544 0.01585
all 0.14600 0.01447 0.01577
all 0.14700 0.01568 0.01569
all 0.14800 0.01475 0.01561
all 0.14900 0.01455 0.01554
all 0.15000 0.01444 0.01546
all 0.15100 0.01359 0.01538
all 0.15200 0.01429 0.01531
all 0.15300 0.01496 0.01523
all 0.15400 0.01478 0.01516
all 0.15500 0.01426 0.01508
all 0.15600 0.01569 0.01501
all 0.15700 0.01480 0.01493
all 0.15800 0.01411 0.01486
all 0.15900 0.01421 0.01478
all 0.16000 0.01469 0.01471
all 0.16100 0.01406 0.01464
all 0.16200 0.01465 0.01457
all 0.16300 0.01482 0.01449
all 0.16400 0.01501 0.01442
all 0.16500 0.01523 0.01435
all 0.16600 0.01302 0.01428
all 0.16700 0.01386 0.01421
all 0.16800 0.01376 0.01414
all 0.16900 0.01409 0.01407
all 0.17000 0.01445 0.01400
all 0.17100 0.01350 0.01393
all 0.17200 0.01261 0.01386
all 0.17300 0.01376 0.01379
all 0.17400 0.01385 0.01372
all 0.17500 0.01297 0.01366
all 0.17600 0.01201 0.01359
all 0.17700 0.01280 0.01352
all 0.17800 0.01352 0.01345
all 0.17900 0.01330 0.01339
all 0.18000 0.01393 0.01332
all 0.18100 0.01295 0.01325
all 0.18200 0.01412 0.01319
all 0.18300 0.01401 0.01312
all 0.18400 0.01300 0.01306
all 0.18500 0.01293 0.01299
all 0.18600 0.01268 0.01293
all 0.18700 0.01364 0.01287
all 0.18800 0.01339 0.01280
all 0.18900 0.01332 0.01274
all 0.19000 0.01167 0.01267
all 0.19100 0.01300 0.01261
all 0.19200 0.01262 0.01255
all 0.19300 0.01320 0.01249
all 0.19400 0.01222 0.01243
all 0.19500 0.01189 0.01236
all 0.19600 0.01202 0.01230
all 0.19700 0.01213 0.01224
all 0.19800 0.01265 0.01218
all 0.19900 0.01061 0.01212
all 0.20000 0.01251 0.01206
all 0.20100 0.01235 0.01200
all 0.20200 0.01247 0.01194
all 0.20300 0.01284 0.01188
all 0.20400 0.01265 0.01182
all 0.20500 0.01183 0.01176
all 0.20600 0.01059 0.01170
all 0.20700 0.01051 0.01165
all 0.20800 0.01055 0.01159
all 0.20900 0.01145 0.01153
all 0.21000 0.01003 0.01147
all 0.21100 0.01062 0.01142
all 0.21200 0.00991 0.01136
all 0.21300 0.01059 0.01130
all 0.21400 0.01009 0.01125
all 0.21500 0.00914 0.01119
all 0.21600 0.01053 0.01113
all 0.21700 0.01093 0.01108
all 0.21800 0.01065 0.01102
all 0.21900 0.01058 0.01097
all 0.22000 0.00988 0.01091
all 0.22100 0.01060 0.01086
all 0.22200 0.01084 0.01081
all 0.22300 0.01084 0.01075
all 0.22400 0.01055 0.01070
all 0.22500 0.01011 0.01065
all 0.22600 0.01033 0.01059
all 0.22700 0.01071 0.01054
all 0.22800 0.01083 0.01049
all 0.22900 0.01049 0.01043
all 0.23000 0.01066 0.01038
all 0.23100 0.01107 0.01033
all 0.23200 0.01145 0.01028
all 0.23300 0.00907 0.01023
all 0.23400 0.01016 0.01018
all 0.23500 0.01005 0.01013
all 0.23600 0.00845 0.01008
all 0.23700 0.01121 0.01003
all 0.23800 0.00877 0.00998
all 0.23900 0.00903 0.00993
all 0.24000 0.01088 0.00988
all 0.24100 0.00966 0.00983
all 0.24200 0.00967 0.00978
all 0.24300 0.00914 0.00973
all 0.24400 0.00943 0.00968
all 0.24500 0.00969 0.00963
all 0.24600 0.00917 0.00958
all 0.24700 0.00843 0.00954
all 0.24800 0.00919 0.00949
all 0.24900 0.00942 0.00944
all 0.25000 0.01013 0.00939
all 0.25100 0.00966 0.00935
all 0.25200 0.00908 0.00930
all 0.25300 0.00940 0.00925
all 0.25400 0.00901 0.00921
all 0.25500 0.00809 0.00916
all 0.25600 0.00816 0.00911
all 0.25700 0.00920 0.00907
all 0.25800 0.00901 0.00902
all 0.25900 0.00830 0.00898
all 0.26000 0.00935 0.00893
all 0.26100 0.01081 0.00889
all 0.26200 0.00888 0.00884
all 0.26300 0.00903 0.00880
all 0.26400 0.00919 0.00876
all 0.26500 0.00977 0.00871
all 0.26600 0.00813 0.00867
all 0.26700 0.00775 0.00862
all 0.26800 0.00833 0.00858
all 0.26900 0.00833 0.00854
all 0.27000 0.00803 0.00850
all 0.27100 0.00709 0.00845
all 0.27200 0.00745 0.00841
all 0.27300 0.00698 0.00837
all 0.27400 0.00636 0.00833
all 0.27500 0.00742 0.00828
all 0.27600 0.00681 0.00824
all 0.27700 0.00845 0.00820
all 0.27800 0.00786 0.00816
all 0.27900 0.00817 0.00812
all 0.28000 0.00824 0.00808
all 0.28100 0.00788 0.00804
all 0.28200 0.00906 0.00800
all 0.28300 0.00784 0.00796
all 0.28400 0.00830 0.00792
all 0.28500 0.00865 0.00788
all 0.28600 0.00835 0.00784
all 0.28700 0.00832 0.00780
all 0.28800 0.00963 0.00776
all 0.28900 0.01007 0.00772
all 0.29000 0.00785 0.00768
all 0.29100 0.00700 0.00764
all 0.29200 0.00768 0.00760
all 0.29300 0.00897 0.00757
all 0.29400 0.00778 0.00753
all 0.29500 0.00753 0.00749
all 0.29600 0.00814 0.00745
all 0.29700 0.00796 0.00741
all 0.29800 0.00848 0.00738
all 0.29900 0.00872 0.00734
all 0.30000 0.00779 0.00730
all 0.30100 0.00699 0.00727
all 0.30200 0.00839 0.00723
all 0.30300 0.00701 0.00719
all 0.30400 0.00861 0.00716
all 0.30500 0.00826 0.00712
all 0.30600 0.00795 0.00708
all 0.30700 0.00759 0.00705
all 0.30800 0.00803 0.00701
all 0.30900 0.00748 0.00698
all 0.31000 0.00809 0.00694
all 0.31100 0.00798 0.00691
all 0.31200 0.00773 0.00687
all 0.31300 0.00770 0.00684
all 0.31400 0.00707 0.00680
all 0.31500 0.00692 0.00677
all 0.31600 0.00732 0.00673
all 0.31700 0.00646 0.00670
all 0.31800 0.00785 0.00667
all 0.31900 0.00707 0.00663
all 0.32000 0.00730 0.00660
all 0.32100 0.00657 0.00657
all 0.32200 0.00634 0.00653
all 0.32300 0.00591 0.00650
all 0.32400 0.00502 0.00647
all 0.32500 0.00719 0.00643
all 0.32600 0.00676 0.00640
all 0.32700 0.00559 0.00637
all 0.32800 0.00481 0.00634
all 0.32900 0.00552 0.00630
all 0.33000 0.00524 0.00627
all 0.33100 0.00594 0.00624
all 0.33200 0.00565 0.00621
all 0.33300 0.00560 0.00618
all 0.33400 0.00599 0.00615
all 0.33500 0.00608 0.00611
all 0.33600 0.00577 0.00608
all 0.33700 0.00698 0.00605
all 0.33800 0.00530 0.00602
all 0.33900 0.00598 0.00599
all 0.34000 0.00680 0.00596
all 0.34100 0.00566 0.00593
all 0.34200 0.00637 0.00590
all 0.34300 0.00461 0.00587
all 0.34400 0.00432 0.00584
all 0.34500 0.00482 0.00581
all 0.34600 0.00463 0.00578
all 0.34700 0.00487 0.00575
all 0.34800 0.00385 0.00572
all 0.34900 0.00566 0.00569
all 0.35000 0.00691 0.00566
all 0.35100 0.00654 0.00563
all 0.35200 0.00471 0.00561
all 0.35300 0.00500 0.00558
all 0.35400 0.00546 0.00555
all 0.35500 0.00534 0.00552
all 0.35600 0.00565 0.00549
all 0.35700 0.00578 0.00546
all 0.35800 0.00511 0.00544
all 0.35900 0.00557 0.00541
all 0.36000 0.00489 0.00538
all 0.36100 0.00512 0.00535
all 0.36200 0.00534 0.00533
all 0.36300 0.00536 0.00530
all 0.36400 0.00479 0.00527
all 0.36500 0.00520 0.00524
all 0.36600 0.00580 0.00522
all 0.36700 0.00548 0.00519
all 0.36800 0.00493 0.00516
all 0.36900 0.00516 0.00514
all 0.37000 0.00465 0.00511
all 0.37100 0.00458 0.00509
all 0.37200 0.00405 0.00506
all 0.37300 0.00370 0.00503
all 0.37400 0.00438 0.00501
all 0.37500 0.00474 0.00498
all 0.37600 0.00412 0.00496
all 0.37700 0.00416 0.00493
all 0.37800 0.00373 0.00491
all 0.37900 0.00451 0.00488
all 0.38000 0.00447 0.00486
all 0.38100 0.00495 0.00483
all 0.38200 0.00376 0.00481
all 0.38300 0.00453 0.00478
all 0.38400 0.00490 0.00476
all 0.38500 0.00435 0.00473
all 0.38600 0.00433 0.00471
all 0.38700 0.00362 0.00468
all 0.38800 0.00406 0.00466
all 0.38900 0.00479 0.00463
all 0.39000 0.00397 0.00461
all 0.39100 0.00467 0.00459
all 0.39200 0.00560 0.00456
all 0.39300 0.00457 0.00454
all 0.39400 0.00336 0.00452
all 0.39500 0.00448 0.00449
all 0.39600 0.00567 0.00447
all 0.39700 0.00552 0.00445
all 0.39800 0.00439 0.00442
all 0.39900 0.00413 0.00440
all 0.40000 0.00409 0.00438
all 0.40100 0.00338 0.00436
all 0.40200 0.00483 0.00433
all 0.40300 0.00354 0.00431
all 0.40400 0.00417 0.00429
all 0.40500 0.00469 0.00427
all 0.40600 0.00411 0.00424
all 0.40700 0.00532 0.00422
all 0.40800 0.00519 0.00420
all 0.40900 0.00575 0.00418
all 0.41000 0.00587 0.00416
all 0.41100 0.00468 0.00413
all 0.41200 0.00517 0.00411
all 0.41300 0.00553 0.00409
all 0.41400 0.00487 0.00407
all 0.41500 0.00502 0.00405
all 0.41600 0.00418 0.00403
all 0.41700 0.00554 0.00401
all 0.41800 0.00512 0.00399
all 0.41900 0.00432 0.00397
all 0.42000 0.00381 0.00395
all 0.42100 0.00337 0.00392
all 0.42200 0.00290 0.00390
all 0.42300 0.00465 0.00388
all 0.42400 0.00418 0.00386
all 0.42500 0.00370 0.00384
all 0.42600 0.00361 0.00382
all 0.42700 0.00299 0.00380
all 0.42800 0.00346 0.00378
all 0.42900 0.00371 0.00376
all 0.43000 0.00313 0.00374
all 0.43100 0.00388 0.00372
all 0.43200 0.00364 0.00370
all 0.43300 0.00378 0.00369
all 0.43400 0.00382 0.00367
all 0.43500 0.00429 0.00365
all 0.43600 0.00465 0.00363
all 0.43700 0.00393 0.00361
all 0.43800 0.00414 0.00359
all 0.43900 0.00493 0.00357
all 0.44000 0.00417 0.00355
all 0.44100 0.00344 0.00353
all 0.44200 0.00379 0.00352
all 0.44300 0.00342 0.00350
all 0.44400 0.00381 0.00348
all 0.44500 0.00455 0.00346
all 0.44600 0.00418 0.00344
all 0.44700 0.00473 0.00342
all 0.44800 0.00442 0.00341
all 0.44900 0.00569 0.00339
all 0.45000 0.00469 0.00337
all 0.45100 0.00447 0.00335
all 0.45200 0.00434 0.00333
all 0.45300 0.00452 0.00332
all 0.45400 0.00391 0.00330
all 0.45500 0.00529 0.00328
all 0.45600 0.00406 0.00326
all 0.45700 0.00409 0.00325
all 0.45800 0.00326 0.00323
all 0.45900 0.00392 0.00321
all 0.46000 0.00363 0.00320
all 0.46100 0.00328 0.00318
all 0.46200 0.00349 0.00316
all 0.46300 0.00345 0.00315
all 0.46400 0.00302 0.00313
all 0.46500 0.00316 0.00311
all 0.46600 0.00342 0.00310
all 0.46700 0.00325 0.00308
all 0.46800 0.00300 0.00306
all 0.46900 0.00332 0.00305
all 0.47000 0.00275 0.00303
all 0.47100 0.00251 0.00301
all 0.47200 0.00218 0.00300
all 0.47300 0.00279 0.00298
all 0.47400 0.00349 0.00297
all 0.47500 0.00302 0.00295
all 0.47600 0.00397 0.00294
all 0.47700 0.00379 0.00292
all 0.47800 0.00358 0.00290
all 0.47900 0.00338 0.00289
all 0.48000 0.00364 0.00287
all 0.48100 0.00364 0.00286
all 0.48200 0.00327 0.00284
all 0.48300 0.00400 0.00283
all 0.48400 0.00386 0.00281
all 0.48500 0.00402 0.00280
all 0.48600 0.00371 0.00278
all 0.48700 0.00278 0.00277
all 0.48800 0.00240 0.00275
all 0.48900 0.00246 0.00274
all 0.49000 0.00255 0.00272
all 0.49100 0.00273 0.00271
all 0.49200 0.00281 0.00269
all 0.49300 0.00302 0.00268
all 0.49400 0.00261 0.00266
all 0.49500 0.00356 0.00265
all 0.49600 0.00382 0.00264
all 0.49700 0.00300 0.00262
all 0.49800 0.00379 0.00261
all 0.49900 0.00330 0.00259
all 0.50000 0.00325 0.00258
all 0.50100 0.00290 0.00257
all 0.50200 0.00264 0.00255
all 0.50300 0.00297 0.00254
all 0.50400 0.00217 0.00252
all 0.50500 0.00345 0.00251
all 0.50600 0.00288 0.00250
all 0.50700 0.00335 0.00248
all 0.50800 0.00417 0.00247
all 0.50900 0.00354 0.00246
all 0.51000 0.00383 0.00244
all 0.51100 0.00208 0.00243
all 0.51200 0.00212 0.00242
all 0.51300 0.00228 0.00240
