jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.01384 0.01192
all 0.02100 0.01242 0.01155
all 0.02200 0.01129 0.01120
all 0.02300 0.01119 0.01086
all 0.02400 0.00975 0.01053
all 0.02500 0.01075 0.01021
all 0.02600 0.00633 0.00990
all 0.02700 0.00545 0.00959
all 0.02800 0.00971 0.00930
all 0.02900 0.00796 0.00902
all 0.03000 0.00666 0.00875
all 0.03100 0.00702 0.00849
all 0.03200 0.00577 0.00823
all 0.03300 0.00803 0.00798
all 0.03400 0.00414 0.00774
all 0.03500 0.00680 0.00751
all 0.03600 0.01224 0.00728
all 0.03700 0.01050 0.00707
all 0.03800 0.00891 0.00686
all 0.03900 0.00794 0.00665
all 0.04000 0.00875 0.00645
all 0.04100 0.00750 0.00626
all 0.04200 0.00732 0.00608
all 0.04300 0.01088 0.00590
all 0.04400 0.01108 0.00572
all 0.04500 0.00822 0.00556
all 0.04600 0.00742 0.00539
all 0.04700 0.00445 0.00523
all 0.04800 0.00849 0.00508
all 0.04900 0.00265 0.00493
all 0.05000 0.00342 0.00479
all 0.05100 0.00059 0.00465
all 0.05200 0.00485 0.00452
all 0.05300 0.00364 0.00439
all 0.05400 0.00430 0.00426
all 0.05500 0.00266 0.00414
all 0.05600 -0.00019 0.00402
all 0.05700 0.00412 0.00391
all 0.05800 0.00584 0.00379
all 0.05900 0.00453 0.00369
all 0.06000 0.00165 0.00358
all 0.06100 0.00295 0.00348
all 0.06200 0.00055 0.00339
all 0.06300 0.00367 0.00329
all 0.06400 -0.00081 0.00320
all 0.06500 0.00397 0.00311
all 0.06600 0.00179 0.00303
all 0.06700 0.00431 0.00294
all 0.06800 0.00026 0.00286
all 0.06900 0.00332 0.00278
all 0.07000 0.00169 0.00271
all 0.07100 0.00135 0.00264
all 0.07200 0.00456 0.00256
all 0.07300 0.00518 0.00250
all 0.07400 0.00610 0.00243
all 0.07500 0.00285 0.00237
all 0.07600 0.00368 0.00230
all 0.07700 0.00117 0.00224
all 0.07800 0.00041 0.00219
all 0.07900 0.00068 0.00213
all 0.08000 0.00213 0.00207
all 0.08100 0.00139 0.00202
all 0.08200 0.00182 0.00197
all 0.08300 0.00494 0.00192
all 0.08400 0.00131 0.00187
all 0.08500 0.00129 0.00183
all 0.08600 0.00035 0.00178
all 0.08700 0.00073 0.00174
all 0.08800 0.00039 0.00169
all 0.08900 -0.00081 0.00165
all 0.09000 0.00215 0.00161
all 0.09100 0.00058 0.00158
all 0.09200 -0.00097 0.00154
all 0.09300 0.00241 0.00150
all 0.09400 0.00084 0.00147
all 0.09500 -0.00034 0.00143
all 0.09600 0.00250 0.00140
all 0.09700 0.00107 0.00137
all 0.09800 0.00390 0.00134
all 0.09900 -0.00214 0.00131
all 0.10000 0.00087 0.00128
all 0.10100 -0.00036 0.00125
all 0.10200 -0.00246 0.00123
all 0.10300 -0.00075 0.00120
all 0.10400 -0.00056 0.00117
all 0.10500 0.00278 0.00115
all 0.10600 0.00144 0.00113
all 0.10700 0.00138 0.00110
all 0.10800 0.00197 0.00108
all 0.10900 0.00187 0.00106
all 0.11000 0.00051 0.00104
all 0.11100 0.00230 0.00102
all 0.11200 0.00092 0.00100
all 0.11300 0.00314 0.00098
all 0.11400 0.00296 0.00096
all 0.11500 0.00147 0.00094
all 0.11600 -0.00015 0.00093
all 0.11700 0.00063 0.00091
all 0.11800 0.00299 0.00089
all 0.11900 -0.00057 0.00088
all 0.12000 0.00189 0.00086
all 0.12100 0.00319 0.00085
all 0.12200 0.00138 0.00083
all 0.12300 0.00346 0.00082
all 0.12400 0.00141 0.00081
all 0.12500 -0.00028 0.00080
all 0.12600 0.00377 0.00078
all 0.12700 0.00341 0.00077
all 0.12800 0.00300 0.00076
all 0.12900 0.00136 0.00075
all 0.13000 0.00238 0.00074
all 0.13100 0.00038 0.00073
all 0.13200 0.00170 0.00072
all 0.13300 0.00092 0.00071
all 0.13400 0.00027 0.00070
all 0.13500 0.00000 0.00069
all 0.13600 -0.00110 0.00068
all 0.13700 -0.00064 0.00067
all 0.13800 -0.00052 0.00066
all 0.13900 0.00254 0.00065
all 0.14000 -0.00206 0.00064
all 0.14100 -0.00171 0.00064
all 0.14200 0.00007 0.00063
all 0.14300 0.00166 0.00062
all 0.14400 0.00161 0.00062
all 0.14500 0.00392 0.00061
all 0.14600 0.00177 0.00060
all 0.14700 0.00019 0.00060
all 0.14800 -0.00173 0.00059
all 0.14900 0.00048 0.00058
all 0.15000 0.00043 0.00058
all 0.15100 0.00026 0.00057
all 0.15200 -0.00140 0.00057
all 0.15300 -0.00040 0.00056
all 0.15400 0.00182 0.00056
all 0.15500 -0.00077 0.00055
all 0.15600 0.00013 0.00055
all 0.15700 -0.00061 0.00054
all 0.15800 0.00129 0.00054
all 0.15900 -0.00022 0.00053
all 0.16000 -0.00056 0.00053
all 0.16100 -0.00056 0.00053
all 0.16200 -0.00126 0.00052
all 0.16300 -0.00021 0.00052
all 0.16400 0.00143 0.00051
all 0.16500 0.00047 0.00051
all 0.16600 0.00076 0.00051
all 0.16700 -0.00060 0.00050
all 0.16800 0.00157 0.00050
all 0.16900 0.00119 0.00050
all 0.17000 0.00353 0.00049
all 0.17100 0.00178 0.00049
all 0.17200 -0.00028 0.00049
all 0.17300 0.00574 0.00049
all 0.17400 0.00158 0.00048
all 0.17500 0.00244 0.00048
all 0.17600 0.00459 0.00048
all 0.17700 0.00037 0.00048
all 0.17800 0.00259 0.00047
all 0.17900 0.00117 0.00047
all 0.18000 0.00034 0.00047
all 0.18100 0.00100 0.00047
all 0.18200 -0.00211 0.00046
all 0.18300 0.00181 0.00046
all 0.18400 0.00174 0.00046
all 0.18500 -0.00187 0.00046
all 0.18600 0.00286 0.00046
all 0.18700 -0.00050 0.00046
all 0.18800 0.00030 0.00045
all 0.18900 0.00011 0.00045
all 0.19000 -0.00139 0.00045
all 0.19100 -0.00139 0.00045
all 0.19200 -0.00132 0.00045
all 0.19300 -0.00078 0.00045
all 0.19400 -0.00057 0.00044
all 0.19500 0.00056 0.00044
all 0.19600 -0.00074 0.00044
all 0.19700 -0.00058 0.00044
all 0.19800 -0.00031 0.00044
all 0.19900 -0.00097 0.00044
all 0.20000 0.00226 0.00044
all 0.20100 -0.00136 0.00044
all 0.20200 -0.00159 0.00043
all 0.20300 -0.00208 0.00043
all 0.20400 0.00034 0.00043
all 0.20500 -0.00066 0.00043
all 0.20600 -0.00103 0.00043
all 0.20700 0.00228 0.00043
all 0.20800 -0.00002 0.00043
all 0.20900 -0.00273 0.00043
all 0.21000 0.00036 0.00043
all 0.21100 -0.00120 0.00043
all 0.21200 0.00020 0.00043
all 0.21300 -0.00173 0.00042
all 0.21400 -0.00102 0.00042
all 0.21500 0.00067 0.00042
all 0.21600 -0.00131 0.00042
all 0.21700 -0.00176 0.00042
all 0.21800 -0.00072 0.00042
all 0.21900 0.00010 0.00042
all 0.22000 0.00078 0.00042
all 0.22100 0.00018 0.00042
all 0.22200 0.00154 0.00042
all 0.22300 -0.00030 0.00042
all 0.22400 0.00122 0.00042
all 0.22500 0.00197 0.00042
all 0.22600 -0.00114 0.00042
all 0.22700 -0.00044 0.00042
all 0.22800 0.00252 0.00042
all 0.22900 0.00200 0.00042
all 0.23000 0.00020 0.00041
all 0.23100 -0.00038 0.00041
all 0.23200 0.00447 0.00041
all 0.23300 0.00478 0.00041
all 0.23400 -0.00048 0.00041
all 0.23500 0.00188 0.00041
all 0.23600 -0.00027 0.00041
all 0.23700 0.00084 0.00041
all 0.23800 -0.00086 0.00041
all 0.23900 -0.00025 0.00041
all 0.24000 0.00032 0.00041
all 0.24100 0.00315 0.00041
all 0.24200 0.00014 0.00041
all 0.24300 0.00028 0.00041
all 0.24400 0.00086 0.00041
all 0.24500 0.00088 0.00041
all 0.24600 -0.00080 0.00041
all 0.24700 0.00055 0.00041
all 0.24800 0.00266 0.00041
all 0.24900 -0.00082 0.00041
all 0.25000 0.00039 0.00041
all 0.25100 -0.00174 0.00041
all 0.25200 -0.00011 0.00041
all 0.25300 -0.00068 0.00041
all 0.25400 -0.00155 0.00041
all 0.25500 -0.00075 0.00041
all 0.25600 -0.00058 0.00041
all 0.25700 0.00176 0.00041
all 0.25800 0.00056 0.00041
all 0.25900 0.00130 0.00041
all 0.26000 0.00116 0.00041
all 0.26100 0.00125 0.00041
all 0.26200 0.00234 0.00041
all 0.26300 -0.00002 0.00041
all 0.26400 0.00208 0.00041
all 0.26500 -0.00074 0.00041
all 0.26600 0.00081 0.00041
all 0.26700 0.00161 0.00041
all 0.26800 -0.00080 0.00041
all 0.26900 0.00293 0.00041
all 0.27000 0.00160 0.00041
