jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.00596 0.00695
all 0.02100 0.01046 0.00680
all 0.02200 0.01272 0.00665
all 0.02300 0.01140 0.00650
all 0.02400 0.00564 0.00636
all 0.02500 0.00752 0.00621
all 0.02600 0.00368 0.00608
all 0.02700 0.00474 0.00594
all 0.02800 0.00286 0.00581
all 0.02900 0.00995 0.00568
all 0.03000 0.00734 0.00555
all 0.03100 0.00343 0.00543
all 0.03200 0.00194 0.00531
all 0.03300 0.00162 0.00519
all 0.03400 0.00313 0.00508
all 0.03500 0.00964 0.00497
all 0.03600 0.00645 0.00486
all 0.03700 0.00268 0.00475
all 0.03800 0.00221 0.00464
all 0.03900 0.00129 0.00454
all 0.04000 0.00261 0.00444
all 0.04100 0.00308 0.00434
all 0.04200 0.00524 0.00425
all 0.04300 0.00339 0.00415
all 0.04400 0.00377 0.00406
all 0.04500 0.00333 0.00397
all 0.04600 0.00689 0.00389
all 0.04700 0.00445 0.00380
all 0.04800 0.00113 0.00372
all 0.04900 0.00362 0.00364
all 0.05000 0.00610 0.00356
all 0.05100 0.00369 0.00348
all 0.05200 0.00448 0.00340
all 0.05300 0.00310 0.00333
all 0.05400 0.00150 0.00325
all 0.05500 0.00340 0.00318
all 0.05600 0.00311 0.00311
all 0.05700 0.00162 0.00305
all 0.05800 0.00395 0.00298
all 0.05900 0.00453 0.00292
all 0.06000 0.00026 0.00285
all 0.06100 0.00095 0.00279
all 0.06200 0.00273 0.00273
all 0.06300 -0.00134 0.00267
all 0.06400 0.00034 0.00261
all 0.06500 -0.00037 0.00256
all 0.06600 0.00223 0.00250
all 0.06700 0.00158 0.00245
all 0.06800 0.00152 0.00239
all 0.06900 0.00139 0.00234
all 0.07000 -0.00071 0.00229
all 0.07100 0.00052 0.00224
all 0.07200 -0.00097 0.00220
all 0.07300 0.00046 0.00215
all 0.07400 0.00110 0.00210
all 0.07500 0.00242 0.00206
all 0.07600 0.00230 0.00201
all 0.07700 0.00215 0.00197
all 0.07800 0.00148 0.00193
all 0.07900 0.00068 0.00189
all 0.08000 0.00284 0.00185
all 0.08100 0.00383 0.00181
all 0.08200 0.00286 0.00177
all 0.08300 0.00477 0.00173
all 0.08400 0.00499 0.00170
all 0.08500 0.00562 0.00166
all 0.08600 0.00354 0.00163
all 0.08700 -0.00030 0.00159
all 0.08800 0.00234 0.00156
all 0.08900 0.00083 0.00153
all 0.09000 0.00378 0.00149
