jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03501 0.03138
all 0.02100 0.03313 0.03097
all 0.02200 0.03173 0.03056
all 0.02300 0.03133 0.03016
all 0.02400 0.03300 0.02976
all 0.02500 0.03099 0.02937
all 0.02600 0.03164 0.02899
all 0.02700 0.03033 0.02861
all 0.02800 0.02851 0.02823
all 0.02900 0.02724 0.02786
all 0.03000 0.02849 0.02750
all 0.03100 0.02817 0.02714
all 0.03200 0.02562 0.02678
all 0.03300 0.02433 0.02643
all 0.03400 0.02742 0.02608
all 0.03500 0.02521 0.02574
all 0.03600 0.02452 0.02540
all 0.03700 0.02362 0.02507
all 0.03800 0.02656 0.02474
all 0.03900 0.02520 0.02442
all 0.04000 0.02262 0.02410
all 0.04100 0.02379 0.02378
all 0.04200 0.02290 0.02347
all 0.04300 0.02098 0.02316
all 0.04400 0.02189 0.02286
all 0.04500 0.02240 0.02256
all 0.04600 0.02086 0.02226
all 0.04700 0.02181 0.02197
all 0.04800 0.01757 0.02168
all 0.04900 0.02006 0.02140
all 0.05000 0.02224 0.02112
all 0.05100 0.01964 0.02084
all 0.05200 0.01889 0.02057
all 0.05300 0.01901 0.02030
all 0.05400 0.01864 0.02003
all 0.05500 0.01941 0.01977
all 0.05600 0.01679 0.01951
all 0.05700 0.01896 0.01926
all 0.05800 0.01757 0.01900
all 0.05900 0.01843 0.01876
all 0.06000 0.01879 0.01851
all 0.06100 0.01825 0.01827
all 0.06200 0.01784 0.01803
all 0.06300 0.01857 0.01779
all 0.06400 0.01785 0.01756
all 0.06500 0.01626 0.01733
all 0.06600 0.01704 0.01710
all 0.06700 0.01732 0.01688
all 0.06800 0.01563 0.01666
all 0.06900 0.01661 0.01644
all 0.07000 0.01583 0.01622
all 0.07100 0.01380 0.01601
all 0.07200 0.01562 0.01580
all 0.07300 0.01201 0.01559
all 0.07400 0.01509 0.01539
all 0.07500 0.01306 0.01519
all 0.07600 0.01434 0.01499
all 0.07700 0.01519 0.01479
all 0.07800 0.01411 0.01460
all 0.07900 0.01283 0.01441
all 0.08000 0.01548 0.01422
all 0.08100 0.01507 0.01403
all 0.08200 0.01496 0.01385
all 0.08300 0.01161 0.01367
all 0.08400 0.01294 0.01349
all 0.08500 0.01406 0.01331
all 0.08600 0.01151 0.01314
all 0.08700 0.01238 0.01297
all 0.08800 0.01231 0.01280
all 0.08900 0.01328 0.01263
all 0.09000 0.01104 0.01247
all 0.09100 0.01144 0.01230
all 0.09200 0.01325 0.01214
all 0.09300 0.01281 0.01198
all 0.09400 0.01301 0.01183
all 0.09500 0.01125 0.01167
all 0.09600 0.01252 0.01152
all 0.09700 0.00899 0.01137
all 0.09800 0.01134 0.01122
all 0.09900 0.01030 0.01107
all 0.10000 0.01250 0.01093
all 0.10100 0.00929 0.01079
all 0.10200 0.01166 0.01064
all 0.10300 0.01193 0.01051
all 0.10400 0.00911 0.01037
all 0.10500 0.01099 0.01023
all 0.10600 0.00843 0.01010
all 0.10700 0.01016 0.00997
all 0.10800 0.01376 0.00984
all 0.10900 0.01026 0.00971
all 0.11000 0.00998 0.00958
all 0.11100 0.01230 0.00946
all 0.11200 0.01028 0.00933
all 0.11300 0.00971 0.00921
all 0.11400 0.00900 0.00909
all 0.11500 0.01126 0.00897
all 0.11600 0.00947 0.00885
all 0.11700 0.00643 0.00874
all 0.11800 0.00810 0.00862
all 0.11900 0.00750 0.00851
all 0.12000 0.00764 0.00840
all 0.12100 0.00830 0.00829
all 0.12200 0.00628 0.00818
all 0.12300 0.00638 0.00808
all 0.12400 0.00789 0.00797
