jackknife_run bin_cM average_cov exp_fit
all 0.20700 0.00275 0.00264
all 0.20800 0.00292 0.00261
all 0.20900 0.00347 0.00257
all 0.21000 0.00291 0.00254
all 0.21100 0.00233 0.00251
all 0.21200 0.00132 0.00248
all 0.21300 0.00236 0.00244
all 0.21400 0.00260 0.00241
all 0.21500 0.00185 0.00238
all 0.21600 0.00133 0.00235
all 0.21700 0.00111 0.00232
all 0.21800 0.00160 0.00229
all 0.21900 0.00240 0.00226
all 0.22000 0.00238 0.00223
all 0.22100 0.00220 0.00220
all 0.22200 0.00231 0.00217
all 0.22300 0.00161 0.00215
all 0.22400 0.00272 0.00212
all 0.22500 0.00136 0.00209
all 0.22600 0.00209 0.00206
all 0.22700 0.00382 0.00204
all 0.22800 0.00278 0.00201
all 0.22900 0.00064 0.00199
all 0.23000 0.00324 0.00196
all 0.23100 0.00183 0.00193
all 0.23200 0.00309 0.00191
all 0.23300 0.00334 0.00189
all 0.23400 0.00306 0.00186
all 0.23500 0.00207 0.00184
all 0.23600 0.00193 0.00181
all 0.23700 0.00372 0.00179
all 0.23800 0.00162 0.00177
all 0.23900 0.00122 0.00175
all 0.24000 0.00246 0.00172
all 0.24100 0.00149 0.00170
all 0.24200 0.00252 0.00168
all 0.24300 0.00118 0.00166
all 0.24400 0.00234 0.00164
all 0.24500 0.00207 0.00162
all 0.24600 0.00102 0.00159
all 0.24700 0.00179 0.00157
all 0.24800 0.00084 0.00155
all 0.24900 0.00096 0.00153
all 0.25000 0.00118 0.00152
all 0.25100 0.00164 0.00150
all 0.25200 0.00127 0.00148
all 0.25300 0.00295 0.00146
all 0.25400 0.00198 0.00144
all 0.25500 0.00297 0.00142
all 0.25600 0.00229 0.00140
all 0.25700 0.00163 0.00139
all 0.25800 0.00225 0.00137
all 0.25900 0.00187 0.00135
all 0.26000 0.00172 0.00133
all 0.26100 0.00228 0.00132
all 0.26200 0.00072 0.00130
all 0.26300 0.00115 0.00128
all 0.26400 0.00119 0.00127
all 0.26500 0.00249 0.00125
all 0.26600 0.00121 0.00124
all 0.26700 0.00085 0.00122
all 0.26800 0.00132 0.00120
all 0.26900 0.00195 0.00119
all 0.27000 0.00216 0.00117
all 0.27100 0.00306 0.00116
all 0.27200 0.00133 0.00115
all 0.27300 0.00162 0.00113
all 0.27400 0.00093 0.00112
all 0.27500 0.00259 0.00110
all 0.27600 0.00213 0.00109
all 0.27700 0.00226 0.00108
all 0.27800 0.00292 0.00106
all 0.27900 0.00257 0.00105
all 0.28000 0.00175 0.00104
all 0.28100 0.00203 0.00102
all 0.28200 0.00260 0.00101
all 0.28300 0.00160 0.00100
all 0.28400 0.00138 0.00099
all 0.28500 0.00164 0.00097
all 0.28600 -0.00018 0.00096
all 0.28700 0.00025 0.00095
all 0.28800 0.00205 0.00094
all 0.28900 0.00163 0.00093
all 0.29000 0.00102 0.00091
all 0.29100 0.00093 0.00090
all 0.29200 0.00106 0.00089
all 0.29300 0.00084 0.00088
all 0.29400 0.00181 0.00087
all 0.29500 0.00124 0.00086
all 0.29600 0.00111 0.00085
all 0.29700 0.00102 0.00084
all 0.29800 -0.00027 0.00083
all 0.29900 0.00156 0.00082
all 0.30000 0.00226 0.00081
all 0.30100 0.00066 0.00080
all 0.30200 0.00177 0.00079
all 0.30300 0.00164 0.00078
all 0.30400 0.00330 0.00077
all 0.30500 0.00254 0.00076
all 0.30600 0.00266 0.00075
all 0.30700 0.00119 0.00074
all 0.30800 0.00259 0.00073
all 0.30900 0.00205 0.00072
all 0.31000 0.00094 0.00071
all 0.31100 0.00136 0.00071
all 0.31200 0.00082 0.00070
all 0.31300 0.00135 0.00069
all 0.31400 0.00052 0.00068
all 0.31500 0.00123 0.00067
all 0.31600 0.00088 0.00066
all 0.31700 0.00104 0.00066
all 0.31800 0.00088 0.00065
all 0.31900 0.00037 0.00064
all 0.32000 0.00065 0.00063
all 0.32100 0.00096 0.00063
all 0.32200 0.00070 0.00062
all 0.32300 0.00071 0.00061
all 0.32400 0.00055 0.00060
all 0.32500 0.00040 0.00060
all 0.32600 0.00110 0.00059
all 0.32700 0.00083 0.00058
all 0.32800 0.00096 0.00058
all 0.32900 0.00015 0.00057
all 0.33000 0.00109 0.00056
all 0.33100 0.00033 0.00056
all 0.33200 0.00012 0.00055
all 0.33300 0.00146 0.00054
all 0.33400 0.00022 0.00054
all 0.33500 0.00015 0.00053
all 0.33600 0.00013 0.00052
all 0.33700 -0.00056 0.00052
all 0.33800 0.00039 0.00051
all 0.33900 -0.00023 0.00051
all 0.34000 -0.00033 0.00050
all 0.34100 -0.00023 0.00049
all 0.34200 0.00043 0.00049
all 0.34300 0.00117 0.00048
all 0.34400 0.00086 0.00048
all 0.34500 0.00061 0.00047
all 0.34600 0.00232 0.00047
all 0.34700 0.00224 0.00046
all 0.34800 0.00203 0.00046
all 0.34900 0.00137 0.00045
all 0.35000 0.00160 0.00045
all 0.35100 0.00041 0.00044
all 0.35200 0.00133 0.00044
all 0.35300 -0.00010 0.00043
all 0.35400 -0.00027 0.00043
all 0.35500 0.00126 0.00042
all 0.35600 0.00105 0.00042
all 0.35700 0.00110 0.00041
all 0.35800 0.00171 0.00041
all 0.35900 0.00063 0.00040
all 0.36000 0.00110 0.00040
all 0.36100 0.00035 0.00039
all 0.36200 0.00079 0.00039
all 0.36300 0.00019 0.00038
all 0.36400 0.00008 0.00038
all 0.36500 0.00115 0.00038
all 0.36600 0.00020 0.00037
all 0.36700 -0.00056 0.00037
all 0.36800 0.00059 0.00036
all 0.36900 0.00114 0.00036
all 0.37000 0.00077 0.00036
all 0.37100 0.00164 0.00035
all 0.37200 0.00054 0.00035
all 0.37300 0.00103 0.00034
all 0.37400 0.00087 0.00034
all 0.37500 0.00055 0.00034
all 0.37600 0.00099 0.00033
all 0.37700 0.00059 0.00033
all 0.37800 0.00084 0.00033
all 0.37900 0.00068 0.00032
all 0.38000 0.00070 0.00032
all 0.38100 0.00095 0.00032
all 0.38200 0.00026 0.00031
all 0.38300 0.00078 0.00031
all 0.38400 0.00129 0.00031
all 0.38500 0.00056 0.00030
all 0.38600 -0.00035 0.00030
all 0.38700 0.00099 0.00030
all 0.38800 -0.00011 0.00029
all 0.38900 -0.00052 0.00029
all 0.39000 -0.00045 0.00029
all 0.39100 0.00069 0.00028
all 0.39200 -0.00004 0.00028
all 0.39300 0.00166 0.00028
all 0.39400 0.00020 0.00028
all 0.39500 0.00102 0.00027
all 0.39600 0.00050 0.00027
all 0.39700 0.00007 0.00027
all 0.39800 0.00065 0.00026
all 0.39900 -0.00031 0.00026
all 0.40000 -0.00020 0.00026
all 0.40100 0.00047 0.00026
all 0.40200 0.00048 0.00025
all 0.40300 0.00010 0.00025
all 0.40400 0.00010 0.00025
all 0.40500 -0.00041 0.00025
all 0.40600 0.00023 0.00024
all 0.40700 0.00005 0.00024
all 0.40800 0.00027 0.00024
all 0.40900 0.00051 0.00024
all 0.41000 0.00256 0.00023
all 0.41100 0.00193 0.00023
all 0.41200 0.00133 0.00023
all 0.41300 -0.00014 0.00023
all 0.41400 0.00094 0.00023
all 0.41500 -0.00054 0.00022
all 0.41600 0.00068 0.00022
all 0.41700 -0.00052 0.00022
all 0.41800 0.00010 0.00022
all 0.41900 0.00106 0.00022
all 0.42000 0.00065 0.00021
all 0.42100 0.00154 0.00021
all 0.42200 0.00088 0.00021
all 0.42300 0.00108 0.00021
all 0.42400 0.00099 0.00021
all 0.42500 0.00071 0.00020
