jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.02541 0.01380
all 0.02100 0.02110 0.01325
all 0.02200 0.01764 0.01273
all 0.02300 0.01639 0.01223
all 0.02400 0.00356 0.01175
all 0.02500 0.01057 0.01129
all 0.02600 0.00727 0.01084
all 0.02700 0.00772 0.01042
all 0.02800 0.00869 0.01001
all 0.02900 0.00781 0.00961
all 0.03000 0.00567 0.00923
all 0.03100 0.00743 0.00887
all 0.03200 0.00558 0.00852
all 0.03300 0.00780 0.00818
all 0.03400 0.00443 0.00786
all 0.03500 0.00284 0.00755
all 0.03600 0.00734 0.00725
all 0.03700 0.00221 0.00696
all 0.03800 -0.00262 0.00669
all 0.03900 0.00478 0.00642
all 0.04000 0.00426 0.00617
all 0.04100 0.00131 0.00592
all 0.04200 0.00828 0.00569
all 0.04300 0.00748 0.00546
all 0.04400 0.00490 0.00525
all 0.04500 0.00363 0.00504
all 0.04600 0.00584 0.00484
all 0.04700 0.00388 0.00464
all 0.04800 0.00495 0.00446
all 0.04900 -0.00018 0.00428
all 0.05000 0.00555 0.00411
all 0.05100 0.00599 0.00395
all 0.05200 0.00018 0.00379
all 0.05300 0.00420 0.00364
all 0.05400 0.00404 0.00349
all 0.05500 0.00140 0.00335
all 0.05600 0.00238 0.00322
all 0.05700 0.01076 0.00309
all 0.05800 0.00161 0.00296
all 0.05900 0.00112 0.00284
all 0.06000 0.00772 0.00273
all 0.06100 0.00234 0.00262
all 0.06200 0.00894 0.00251
all 0.06300 0.00197 0.00241
all 0.06400 0.00106 0.00231
all 0.06500 0.00420 0.00222
all 0.06600 0.00272 0.00213
all 0.06700 0.00491 0.00204
all 0.06800 0.00330 0.00196
all 0.06900 0.00678 0.00188
all 0.07000 0.00198 0.00180
all 0.07100 0.00480 0.00173
all 0.07200 0.00523 0.00165
all 0.07300 0.00325 0.00159
all 0.07400 0.00620 0.00152
all 0.07500 0.00549 0.00146
all 0.07600 0.00259 0.00140
all 0.07700 0.00378 0.00134
all 0.07800 0.00369 0.00128
all 0.07900 0.00457 0.00123
all 0.08000 -0.00061 0.00118
all 0.08100 0.00357 0.00113
all 0.08200 0.00355 0.00108
all 0.08300 0.00353 0.00103
all 0.08400 0.00519 0.00099
all 0.08500 -0.00124 0.00095
all 0.08600 0.00020 0.00090
all 0.08700 -0.00075 0.00087
