jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03154 0.02948
all 0.02100 0.02912 0.02924
all 0.02200 0.03168 0.02900
all 0.02300 0.03062 0.02877
all 0.02400 0.03129 0.02853
all 0.02500 0.03115 0.02830
all 0.02600 0.02710 0.02807
all 0.02700 0.02882 0.02784
all 0.02800 0.02633 0.02762
all 0.02900 0.02870 0.02739
all 0.03000 0.02785 0.02717
all 0.03100 0.02760 0.02695
all 0.03200 0.02548 0.02673
all 0.03300 0.02560 0.02652
all 0.03400 0.02440 0.02630
all 0.03500 0.02519 0.02609
all 0.03600 0.02674 0.02588
all 0.03700 0.02508 0.02567
all 0.03800 0.02461 0.02546
all 0.03900 0.02691 0.02525
all 0.04000 0.02650 0.02505
all 0.04100 0.02386 0.02484
all 0.04200 0.02363 0.02464
all 0.04300 0.02265 0.02444
all 0.04400 0.02526 0.02425
all 0.04500 0.02180 0.02405
all 0.04600 0.02428 0.02386
all 0.04700 0.02512 0.02366
all 0.04800 0.02410 0.02347
all 0.04900 0.02472 0.02328
all 0.05000 0.02513 0.02309
all 0.05100 0.02367 0.02291
all 0.05200 0.02163 0.02272
all 0.05300 0.02095 0.02254
all 0.05400 0.02109 0.02236
all 0.05500 0.02314 0.02218
all 0.05600 0.02197 0.02200
all 0.05700 0.02287 0.02182
all 0.05800 0.02198 0.02164
all 0.05900 0.02225 0.02147
all 0.06000 0.02099 0.02130
all 0.06100 0.01872 0.02112
all 0.06200 0.02232 0.02095
all 0.06300 0.02019 0.02079
all 0.06400 0.01836 0.02062
all 0.06500 0.02160 0.02045
all 0.06600 0.01917 0.02029
all 0.06700 0.01974 0.02012
all 0.06800 0.01920 0.01996
all 0.06900 0.01897 0.01980
all 0.07000 0.01931 0.01964
all 0.07100 0.02002 0.01948
all 0.07200 0.01935 0.01933
all 0.07300 0.01979 0.01917
all 0.07400 0.01858 0.01902
all 0.07500 0.01759 0.01886
all 0.07600 0.01767 0.01871
all 0.07700 0.01884 0.01856
all 0.07800 0.01816 0.01841
all 0.07900 0.01844 0.01827
all 0.08000 0.01515 0.01812
all 0.08100 0.01754 0.01797
all 0.08200 0.01740 0.01783
all 0.08300 0.01676 0.01769
