jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.01484 0.01721
all 0.02100 0.01763 0.01622
all 0.02200 0.01684 0.01529
all 0.02300 0.01026 0.01442
all 0.02400 0.00677 0.01359
all 0.02500 0.01405 0.01282
all 0.02600 0.01433 0.01209
all 0.02700 0.01704 0.01140
all 0.02800 0.01440 0.01075
all 0.02900 0.01044 0.01014
all 0.03000 0.01100 0.00956
all 0.03100 0.01103 0.00902
all 0.03200 0.00979 0.00851
all 0.03300 0.01324 0.00803
all 0.03400 0.00885 0.00758
all 0.03500 0.01200 0.00716
all 0.03600 0.00289 0.00675
all 0.03700 0.00482 0.00638
all 0.03800 0.00309 0.00602
all 0.03900 0.00509 0.00569
all 0.04000 0.00219 0.00537
all 0.04100 0.00568 0.00508
all 0.04200 0.00188 0.00480
all 0.04300 0.00377 0.00453
all 0.04400 0.00360 0.00429
all 0.04500 0.00370 0.00405
all 0.04600 0.00213 0.00383
all 0.04700 -0.00016 0.00363
all 0.04800 0.00339 0.00343
all 0.04900 0.00240 0.00325
all 0.05000 0.00206 0.00308
all 0.05100 0.00423 0.00291
all 0.05200 0.00081 0.00276
all 0.05300 -0.00097 0.00262
all 0.05400 0.00288 0.00248
all 0.05500 -0.00037 0.00235
all 0.05600 -0.00066 0.00223
all 0.05700 -0.00088 0.00212
all 0.05800 0.00011 0.00201
all 0.05900 0.00205 0.00191
all 0.06000 0.00002 0.00182
all 0.06100 0.00042 0.00173
all 0.06200 0.00323 0.00165
all 0.06300 0.00035 0.00157
all 0.06400 0.00021 0.00149
all 0.06500 0.00099 0.00142
all 0.06600 0.00115 0.00136
all 0.06700 0.00293 0.00130
all 0.06800 0.00181 0.00124
all 0.06900 -0.00235 0.00118
all 0.07000 0.00232 0.00113
all 0.07100 0.00344 0.00108
all 0.07200 0.00230 0.00104
all 0.07300 0.00107 0.00099
all 0.07400 0.00217 0.00095
all 0.07500 0.00198 0.00091
all 0.07600 0.00474 0.00088
all 0.07700 0.00232 0.00084
all 0.07800 0.00776 0.00081
all 0.07900 0.00498 0.00078
all 0.08000 -0.00244 0.00075
all 0.08100 0.00025 0.00073
all 0.08200 0.00685 0.00070
all 0.08300 -0.00026 0.00068
all 0.08400 -0.00136 0.00066
all 0.08500 -0.00094 0.00064
all 0.08600 0.00199 0.00062
all 0.08700 -0.00059 0.00060
all 0.08800 0.00034 0.00058
all 0.08900 0.00149 0.00056
all 0.09000 0.00116 0.00055
all 0.09100 0.00370 0.00053
all 0.09200 -0.00164 0.00052
all 0.09300 0.00014 0.00051
all 0.09400 0.00102 0.00049
all 0.09500 0.00150 0.00048
all 0.09600 0.00252 0.00047
all 0.09700 0.00351 0.00046
all 0.09800 0.00324 0.00045
all 0.09900 0.00679 0.00044
all 0.10000 0.01074 0.00043
all 0.10100 0.00397 0.00043
