jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.02692 0.02736
all 0.02100 0.02762 0.02675
all 0.02200 0.02256 0.02616
all 0.02300 0.02379 0.02558
all 0.02400 0.02308 0.02501
all 0.02500 0.02529 0.02446
all 0.02600 0.02574 0.02392
all 0.02700 0.02418 0.02339
all 0.02800 0.02141 0.02287
all 0.02900 0.02027 0.02237
all 0.03000 0.02230 0.02187
all 0.03100 0.02256 0.02139
all 0.03200 0.01886 0.02092
all 0.03300 0.01929 0.02045
all 0.03400 0.02026 0.02000
all 0.03500 0.01901 0.01956
all 0.03600 0.02015 0.01913
all 0.03700 0.01819 0.01870
all 0.03800 0.01663 0.01829
all 0.03900 0.01816 0.01788
all 0.04000 0.01962 0.01749
all 0.04100 0.01782 0.01710
all 0.04200 0.01452 0.01673
all 0.04300 0.01680 0.01636
all 0.04400 0.01871 0.01599
all 0.04500 0.01679 0.01564
all 0.04600 0.01534 0.01530
all 0.04700 0.01283 0.01496
all 0.04800 0.01472 0.01463
all 0.04900 0.01310 0.01430
all 0.05000 0.01330 0.01399
all 0.05100 0.01254 0.01368
all 0.05200 0.01283 0.01338
all 0.05300 0.01406 0.01308
all 0.05400 0.01305 0.01279
all 0.05500 0.01199 0.01251
all 0.05600 0.01318 0.01223
all 0.05700 0.01475 0.01197
all 0.05800 0.01116 0.01170
all 0.05900 0.01241 0.01144
all 0.06000 0.01356 0.01119
all 0.06100 0.01356 0.01094
all 0.06200 0.01247 0.01070
all 0.06300 0.01078 0.01047
all 0.06400 0.01050 0.01024
all 0.06500 0.01130 0.01001
all 0.06600 0.01149 0.00979
all 0.06700 0.01317 0.00957
all 0.06800 0.00944 0.00936
all 0.06900 0.01258 0.00916
all 0.07000 0.01336 0.00896
all 0.07100 0.01062 0.00876
all 0.07200 0.00926 0.00857
all 0.07300 0.01121 0.00838
all 0.07400 0.00944 0.00819
all 0.07500 0.01149 0.00801
all 0.07600 0.00755 0.00784
all 0.07700 0.00727 0.00766
all 0.07800 0.00856 0.00750
all 0.07900 0.00668 0.00733
all 0.08000 0.00633 0.00717
all 0.08100 0.00559 0.00701
all 0.08200 0.00701 0.00686
all 0.08300 0.00684 0.00671
all 0.08400 0.00743 0.00656
all 0.08500 0.00758 0.00642
all 0.08600 0.00699 0.00628
all 0.08700 0.00634 0.00614
all 0.08800 0.00618 0.00600
all 0.08900 0.00781 0.00587
all 0.09000 0.00559 0.00574
all 0.09100 0.00500 0.00562
all 0.09200 0.00682 0.00549
