jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03277 0.03367
all 0.02100 0.03308 0.03306
all 0.02200 0.03114 0.03246
all 0.02300 0.03227 0.03188
all 0.02400 0.03085 0.03130
all 0.02500 0.03196 0.03073
all 0.02600 0.02910 0.03018
all 0.02700 0.03140 0.02963
all 0.02800 0.02823 0.02910
all 0.02900 0.02970 0.02857
all 0.03000 0.02977 0.02806
all 0.03100 0.02673 0.02755
all 0.03200 0.02565 0.02705
all 0.03300 0.02796 0.02657
all 0.03400 0.02637 0.02609
all 0.03500 0.02606 0.02562
all 0.03600 0.02419 0.02515
all 0.03700 0.02303 0.02470
all 0.03800 0.02149 0.02426
all 0.03900 0.02304 0.02382
all 0.04000 0.02198 0.02339
all 0.04100 0.02172 0.02297
all 0.04200 0.02188 0.02255
all 0.04300 0.02095 0.02215
all 0.04400 0.02102 0.02175
all 0.04500 0.02366 0.02136
all 0.04600 0.02336 0.02098
all 0.04700 0.02097 0.02060
all 0.04800 0.02083 0.02023
all 0.04900 0.01978 0.01986
all 0.05000 0.01741 0.01951
all 0.05100 0.01773 0.01916
all 0.05200 0.01788 0.01881
all 0.05300 0.01889 0.01848
all 0.05400 0.01953 0.01814
all 0.05500 0.01847 0.01782
all 0.05600 0.01708 0.01750
all 0.05700 0.01821 0.01719
all 0.05800 0.01646 0.01688
all 0.05900 0.01394 0.01658
all 0.06000 0.01549 0.01628
all 0.06100 0.01769 0.01599
all 0.06200 0.01604 0.01570
all 0.06300 0.01607 0.01542
all 0.06400 0.01589 0.01515
all 0.06500 0.01635 0.01488
all 0.06600 0.01556 0.01461
all 0.06700 0.01622 0.01435
all 0.06800 0.01578 0.01409
all 0.06900 0.01402 0.01384
all 0.07000 0.01559 0.01360
all 0.07100 0.01447 0.01335
all 0.07200 0.01465 0.01312
all 0.07300 0.01318 0.01288
all 0.07400 0.01606 0.01265
all 0.07500 0.01499 0.01243
all 0.07600 0.01285 0.01221
all 0.07700 0.01293 0.01199
all 0.07800 0.01261 0.01178
all 0.07900 0.01373 0.01157
all 0.08000 0.01032 0.01136
all 0.08100 0.01221 0.01116
all 0.08200 0.01173 0.01097
all 0.08300 0.01163 0.01077
all 0.08400 0.00909 0.01058
all 0.08500 0.01031 0.01039
all 0.08600 0.00929 0.01021
all 0.08700 0.00664 0.01003
all 0.08800 0.00921 0.00985
all 0.08900 0.01079 0.00968
all 0.09000 0.00835 0.00951
all 0.09100 0.00891 0.00934
all 0.09200 0.00850 0.00918
all 0.09300 0.00811 0.00902
all 0.09400 0.00893 0.00886
all 0.09500 0.00737 0.00870
all 0.09600 0.00563 0.00855
all 0.09700 0.00831 0.00840
all 0.09800 0.00827 0.00825
all 0.09900 0.00764 0.00811
all 0.10000 0.00858 0.00797
all 0.10100 0.00900 0.00783
all 0.10200 0.00774 0.00769
all 0.10300 0.00794 0.00756
all 0.10400 0.00735 0.00742
all 0.10500 0.00756 0.00729
all 0.10600 0.00702 0.00717
all 0.10700 0.00809 0.00704
all 0.10800 0.00598 0.00692
all 0.10900 0.00704 0.00680
all 0.11000 0.00671 0.00668
all 0.11100 0.00577 0.00657
all 0.11200 0.00610 0.00645
all 0.11300 0.00760 0.00634
all 0.11400 0.00713 0.00623
all 0.11500 0.00503 0.00612
all 0.11600 0.00462 0.00602
all 0.11700 0.00605 0.00592
all 0.11800 0.00562 0.00581
all 0.11900 0.00690 0.00571
all 0.12000 0.00590 0.00562
all 0.12100 0.00623 0.00552
all 0.12200 0.00581 0.00543
all 0.12300 0.00585 0.00533
all 0.12400 0.00541 0.00524
all 0.12500 0.00433 0.00515
all 0.12600 0.00480 0.00506
all 0.12700 0.00437 0.00498
all 0.12800 0.00530 0.00489
all 0.12900 0.00580 0.00481
all 0.13000 0.00454 0.00473
all 0.13100 0.00507 0.00465
all 0.13200 0.00630 0.00457
all 0.13300 0.00611 0.00449
all 0.13400 0.00421 0.00442
all 0.13500 0.00389 0.00434
all 0.13600 0.00384 0.00427
all 0.13700 0.00343 0.00420
all 0.13800 0.00263 0.00413
all 0.13900 0.00416 0.00406
all 0.14000 0.00376 0.00399
all 0.14100 0.00291 0.00392
all 0.14200 0.00418 0.00386
all 0.14300 0.00263 0.00379
all 0.14400 0.00202 0.00373
all 0.14500 0.00264 0.00367
all 0.14600 0.00360 0.00361
all 0.14700 0.00308 0.00355
all 0.14800 0.00245 0.00349
all 0.14900 0.00420 0.00343
all 0.15000 0.00329 0.00338
all 0.15100 0.00222 0.00332
all 0.15200 0.00240 0.00327
all 0.15300 0.00220 0.00321
all 0.15400 0.00314 0.00316
all 0.15500 0.00532 0.00311
all 0.15600 0.00376 0.00306
all 0.15700 0.00369 0.00301
all 0.15800 0.00454 0.00296
all 0.15900 0.00338 0.00291
all 0.16000 0.00259 0.00287
all 0.16100 0.00314 0.00282
all 0.16200 0.00348 0.00278
all 0.16300 0.00284 0.00273
all 0.16400 0.00379 0.00269
all 0.16500 0.00176 0.00265
all 0.16600 0.00248 0.00260
all 0.16700 0.00351 0.00256
all 0.16800 0.00148 0.00252
all 0.16900 0.00362 0.00248
all 0.17000 0.00237 0.00244
all 0.17100 0.00208 0.00240
all 0.17200 0.00267 0.00237
all 0.17300 0.00158 0.00233
all 0.17400 0.00202 0.00229
all 0.17500 0.00197 0.00226
all 0.17600 0.00238 0.00222
all 0.17700 0.00267 0.00219
all 0.17800 0.00149 0.00216
all 0.17900 0.00160 0.00212
all 0.18000 0.00273 0.00209
all 0.18100 0.00142 0.00206
all 0.18200 0.00248 0.00203
all 0.18300 0.00272 0.00200
all 0.18400 0.00118 0.00197
all 0.18500 0.00165 0.00194
all 0.18600 0.00115 0.00191
all 0.18700 0.00136 0.00188
all 0.18800 0.00226 0.00185
all 0.18900 0.00174 0.00182
all 0.19000 0.00126 0.00180
all 0.19100 0.00263 0.00177
all 0.19200 0.00252 0.00174
all 0.19300 0.00218 0.00172
all 0.19400 0.00190 0.00169
all 0.19500 0.00162 0.00167
all 0.19600 0.00132 0.00165
all 0.19700 0.00167 0.00162
all 0.19800 0.00190 0.00160
all 0.19900 0.00126 0.00158
all 0.20000 0.00105 0.00155
all 0.20100 0.00163 0.00153
all 0.20200 0.00088 0.00151
all 0.20300 0.00077 0.00149
all 0.20400 0.00062 0.00147
all 0.20500 0.00069 0.00145
all 0.20600 0.00028 0.00143
all 0.20700 0.00092 0.00141
all 0.20800 -0.00039 0.00139
all 0.20900 -0.00016 0.00137
all 0.21000 0.00019 0.00135
all 0.21100 0.00039 0.00133
all 0.21200 0.00075 0.00131
all 0.21300 0.00067 0.00130
all 0.21400 0.00046 0.00128
all 0.21500 0.00029 0.00126
all 0.21600 0.00149 0.00125
all 0.21700 0.00131 0.00123
all 0.21800 -0.00041 0.00121
all 0.21900 -0.00087 0.00120
all 0.22000 0.00020 0.00118
all 0.22100 0.00116 0.00117
all 0.22200 0.00086 0.00115
all 0.22300 0.00006 0.00114
all 0.22400 -0.00072 0.00112
all 0.22500 0.00093 0.00111
all 0.22600 0.00055 0.00109
all 0.22700 0.00015 0.00108
all 0.22800 -0.00006 0.00107
