jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03451 0.03253
all 0.02100 0.03156 0.03218
all 0.02200 0.03352 0.03183
all 0.02300 0.03484 0.03148
all 0.02400 0.03263 0.03114
all 0.02500 0.03254 0.03080
all 0.02600 0.03198 0.03047
all 0.02700 0.03109 0.03013
all 0.02800 0.03120 0.02981
all 0.02900 0.03044 0.02948
all 0.03000 0.03146 0.02916
all 0.03100 0.02835 0.02885
all 0.03200 0.02949 0.02853
all 0.03300 0.02837 0.02822
all 0.03400 0.02866 0.02792
all 0.03500 0.02715 0.02761
all 0.03600 0.02802 0.02731
all 0.03700 0.02761 0.02702
all 0.03800 0.02841 0.02672
all 0.03900 0.02727 0.02643
all 0.04000 0.02639 0.02615
all 0.04100 0.02542 0.02586
all 0.04200 0.02357 0.02558
all 0.04300 0.02379 0.02531
all 0.04400 0.02291 0.02503
all 0.04500 0.02376 0.02476
all 0.04600 0.02343 0.02449
all 0.04700 0.02337 0.02423
all 0.04800 0.02111 0.02396
all 0.04900 0.02196 0.02370
all 0.05000 0.02251 0.02345
all 0.05100 0.02302 0.02319
all 0.05200 0.02218 0.02294
all 0.05300 0.02189 0.02269
all 0.05400 0.02173 0.02245
all 0.05500 0.02326 0.02220
all 0.05600 0.01967 0.02196
all 0.05700 0.02114 0.02173
all 0.05800 0.02198 0.02149
all 0.05900 0.02155 0.02126
all 0.06000 0.01963 0.02103
all 0.06100 0.02066 0.02080
all 0.06200 0.01949 0.02058
all 0.06300 0.02056 0.02035
all 0.06400 0.02081 0.02013
all 0.06500 0.01975 0.01991
all 0.06600 0.02028 0.01970
all 0.06700 0.01930 0.01949
all 0.06800 0.01841 0.01928
all 0.06900 0.01902 0.01907
all 0.07000 0.01705 0.01886
all 0.07100 0.01811 0.01866
all 0.07200 0.01773 0.01846
all 0.07300 0.01874 0.01826
all 0.07400 0.01891 0.01806
all 0.07500 0.02025 0.01786
all 0.07600 0.01897 0.01767
all 0.07700 0.02007 0.01748
all 0.07800 0.01737 0.01729
all 0.07900 0.01794 0.01710
all 0.08000 0.01785 0.01692
all 0.08100 0.01670 0.01674
all 0.08200 0.01814 0.01656
all 0.08300 0.01711 0.01638
all 0.08400 0.01718 0.01620
all 0.08500 0.01755 0.01603
all 0.08600 0.01583 0.01585
all 0.08700 0.01496 0.01568
all 0.08800 0.01580 0.01551
all 0.08900 0.01515 0.01535
all 0.09000 0.01554 0.01518
all 0.09100 0.01490 0.01502
all 0.09200 0.01584 0.01486
all 0.09300 0.01341 0.01470
all 0.09400 0.01485 0.01454
all 0.09500 0.01367 0.01438
all 0.09600 0.01416 0.01423
all 0.09700 0.01308 0.01407
all 0.09800 0.01223 0.01392
all 0.09900 0.01180 0.01377
all 0.10000 0.01252 0.01362
all 0.10100 0.01162 0.01348
all 0.10200 0.01184 0.01333
all 0.10300 0.01191 0.01319
all 0.10400 0.01016 0.01305
all 0.10500 0.01112 0.01291
all 0.10600 0.00974 0.01277
all 0.10700 0.01123 0.01263
all 0.10800 0.01155 0.01249
all 0.10900 0.01103 0.01236
all 0.11000 0.01033 0.01223
all 0.11100 0.01251 0.01210
all 0.11200 0.01059 0.01197
all 0.11300 0.01070 0.01184
all 0.11400 0.00900 0.01171
all 0.11500 0.00986 0.01159
all 0.11600 0.00953 0.01146
all 0.11700 0.00878 0.01134
all 0.11800 0.00910 0.01122
all 0.11900 0.01058 0.01110
all 0.12000 0.01024 0.01098
all 0.12100 0.01053 0.01086
all 0.12200 0.00990 0.01074
all 0.12300 0.00994 0.01063
all 0.12400 0.00962 0.01052
all 0.12500 0.00873 0.01040
all 0.12600 0.00899 0.01029
all 0.12700 0.00907 0.01018
all 0.12800 0.00885 0.01007
all 0.12900 0.01004 0.00996
all 0.13000 0.00903 0.00986
all 0.13100 0.00854 0.00975
all 0.13200 0.00785 0.00965
all 0.13300 0.00993 0.00955
all 0.13400 0.00930 0.00944
all 0.13500 0.00807 0.00934
all 0.13600 0.00869 0.00924
all 0.13700 0.00822 0.00914
all 0.13800 0.00796 0.00905
all 0.13900 0.00891 0.00895
all 0.14000 0.00732 0.00886
all 0.14100 0.00784 0.00876
all 0.14200 0.00821 0.00867
all 0.14300 0.00720 0.00858
all 0.14400 0.00845 0.00848
