jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03462 0.03201
all 0.02100 0.03584 0.03167
all 0.02200 0.03415 0.03133
all 0.02300 0.03397 0.03100
all 0.02400 0.03089 0.03068
all 0.02500 0.03213 0.03035
all 0.02600 0.03046 0.03003
all 0.02700 0.03097 0.02971
all 0.02800 0.03122 0.02940
all 0.02900 0.02788 0.02909
all 0.03000 0.02922 0.02878
all 0.03100 0.02740 0.02848
all 0.03200 0.02911 0.02818
all 0.03300 0.02804 0.02788
all 0.03400 0.02807 0.02759
all 0.03500 0.02876 0.02729
all 0.03600 0.02692 0.02701
all 0.03700 0.02715 0.02672
all 0.03800 0.02613 0.02644
all 0.03900 0.02710 0.02616
all 0.04000 0.02468 0.02588
all 0.04100 0.02538 0.02561
all 0.04200 0.02490 0.02534
all 0.04300 0.02368 0.02507
all 0.04400 0.02281 0.02480
all 0.04500 0.02366 0.02454
all 0.04600 0.02313 0.02428
all 0.04700 0.02377 0.02403
all 0.04800 0.02372 0.02377
all 0.04900 0.02163 0.02352
all 0.05000 0.02221 0.02327
all 0.05100 0.02108 0.02303
all 0.05200 0.02253 0.02278
all 0.05300 0.02045 0.02254
all 0.05400 0.02172 0.02230
all 0.05500 0.02181 0.02207
all 0.05600 0.02176 0.02183
all 0.05700 0.02010 0.02160
all 0.05800 0.02065 0.02137
all 0.05900 0.01981 0.02115
all 0.06000 0.02152 0.02093
all 0.06100 0.02035 0.02070
all 0.06200 0.02036 0.02048
all 0.06300 0.01989 0.02027
all 0.06400 0.01954 0.02005
all 0.06500 0.02042 0.01984
all 0.06600 0.02096 0.01963
all 0.06700 0.01805 0.01942
all 0.06800 0.01902 0.01922
all 0.06900 0.01961 0.01901
all 0.07000 0.01917 0.01881
all 0.07100 0.02012 0.01861
all 0.07200 0.01946 0.01842
all 0.07300 0.01855 0.01822
all 0.07400 0.01816 0.01803
all 0.07500 0.01682 0.01784
all 0.07600 0.01734 0.01765
all 0.07700 0.01942 0.01746
all 0.07800 0.01607 0.01728
all 0.07900 0.01608 0.01709
all 0.08000 0.01688 0.01691
all 0.08100 0.01714 0.01673
all 0.08200 0.01598 0.01656
all 0.08300 0.01744 0.01638
all 0.08400 0.01565 0.01621
all 0.08500 0.01593 0.01604
all 0.08600 0.01676 0.01587
all 0.08700 0.01509 0.01570
all 0.08800 0.01432 0.01553
all 0.08900 0.01472 0.01537
