jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.01575 0.01393
all 0.02100 0.01461 0.01313
all 0.02200 0.01289 0.01237
all 0.02300 0.01463 0.01165
all 0.02400 0.00982 0.01098
all 0.02500 0.00697 0.01035
all 0.02600 0.00954 0.00975
all 0.02700 0.01285 0.00919
all 0.02800 0.00750 0.00866
all 0.02900 0.00435 0.00817
all 0.03000 0.00475 0.00770
all 0.03100 0.00821 0.00726
all 0.03200 0.00399 0.00685
all 0.03300 0.00389 0.00646
all 0.03400 0.00490 0.00609
all 0.03500 0.01010 0.00574
all 0.03600 0.00775 0.00542
all 0.03700 0.00466 0.00511
all 0.03800 0.00508 0.00482
all 0.03900 0.00392 0.00455
all 0.04000 0.00387 0.00430
all 0.04100 0.00307 0.00406
all 0.04200 0.00262 0.00383
all 0.04300 0.00350 0.00362
all 0.04400 0.00390 0.00342
all 0.04500 0.00267 0.00323
all 0.04600 0.00058 0.00305
all 0.04700 0.00222 0.00289
all 0.04800 0.00444 0.00273
all 0.04900 0.00209 0.00258
all 0.05000 0.00186 0.00244
all 0.05100 0.00235 0.00231
all 0.05200 0.00134 0.00219
all 0.05300 0.00168 0.00207
all 0.05400 0.00129 0.00196
all 0.05500 0.00385 0.00186
all 0.05600 0.00470 0.00176
all 0.05700 0.00587 0.00167
all 0.05800 -0.00313 0.00158
all 0.05900 0.00348 0.00150
all 0.06000 0.00713 0.00143
all 0.06100 0.00338 0.00136
all 0.06200 -0.00151 0.00129
all 0.06300 0.00073 0.00122
all 0.06400 -0.00009 0.00117
all 0.06500 -0.00046 0.00111
all 0.06600 0.00095 0.00106
all 0.06700 -0.00003 0.00101
all 0.06800 -0.00090 0.00096
all 0.06900 -0.00264 0.00092
all 0.07000 0.00046 0.00087
all 0.07100 0.00031 0.00084
all 0.07200 0.00275 0.00080
all 0.07300 0.00122 0.00076
all 0.07400 -0.00273 0.00073
all 0.07500 -0.00045 0.00070
all 0.07600 0.00092 0.00067
