jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.01946 0.01827
all 0.02100 0.01454 0.01719
all 0.02200 0.01728 0.01618
all 0.02300 0.01650 0.01523
all 0.02400 0.01005 0.01434
all 0.02500 0.00664 0.01350
all 0.02600 0.01377 0.01271
all 0.02700 0.01405 0.01197
all 0.02800 0.01670 0.01127
all 0.02900 0.01411 0.01062
all 0.03000 0.01023 0.01000
all 0.03100 0.01078 0.00942
all 0.03200 0.01081 0.00888
all 0.03300 0.00959 0.00836
all 0.03400 0.01298 0.00788
all 0.03500 0.00868 0.00743
all 0.03600 0.01176 0.00700
all 0.03700 0.00283 0.00660
all 0.03800 0.00472 0.00622
all 0.03900 0.00303 0.00587
all 0.04000 0.00499 0.00554
all 0.04100 0.00215 0.00522
all 0.04200 0.00557 0.00493
all 0.04300 0.00184 0.00465
all 0.04400 0.00369 0.00439
all 0.04500 0.00353 0.00415
all 0.04600 0.00363 0.00392
all 0.04700 0.00209 0.00370
all 0.04800 -0.00016 0.00350
all 0.04900 0.00332 0.00331
all 0.05000 0.00235 0.00313
all 0.05100 0.00202 0.00296
all 0.05200 0.00414 0.00280
all 0.05300 0.00079 0.00265
all 0.05400 -0.00095 0.00251
all 0.05500 0.00282 0.00237
all 0.05600 -0.00036 0.00225
all 0.05700 -0.00064 0.00213
all 0.05800 -0.00086 0.00202
all 0.05900 0.00011 0.00192
all 0.06000 0.00200 0.00182
all 0.06100 0.00002 0.00173
all 0.06200 0.00041 0.00165
all 0.06300 0.00316 0.00157
all 0.06400 0.00034 0.00149
all 0.06500 0.00020 0.00142
all 0.06600 0.00097 0.00135
all 0.06700 0.00112 0.00129
all 0.06800 0.00287 0.00123
all 0.06900 0.00177 0.00117
all 0.07000 -0.00231 0.00112
all 0.07100 0.00228 0.00107
all 0.07200 0.00337 0.00102
all 0.07300 0.00225 0.00098
all 0.07400 0.00105 0.00094
all 0.07500 0.00212 0.00090
all 0.07600 0.00194 0.00086
all 0.07700 0.00464 0.00083
all 0.07800 0.00227 0.00080
all 0.07900 0.00760 0.00077
all 0.08000 0.00488 0.00074
all 0.08100 -0.00239 0.00071
all 0.08200 0.00025 0.00069
all 0.08300 0.00671 0.00066
all 0.08400 -0.00025 0.00064
all 0.08500 -0.00133 0.00062
all 0.08600 -0.00092 0.00060
all 0.08700 0.00195 0.00058
all 0.08800 -0.00058 0.00057
all 0.08900 0.00034 0.00055
all 0.09000 0.00146 0.00053
all 0.09100 0.00114 0.00052
all 0.09200 0.00363 0.00051
all 0.09300 -0.00161 0.00049
all 0.09400 0.00013 0.00048
all 0.09500 0.00100 0.00047
all 0.09600 0.00147 0.00046
all 0.09700 0.00247 0.00045
all 0.09800 0.00344 0.00044
all 0.09900 0.00317 0.00043
all 0.10000 0.00666 0.00042
all 0.10100 0.01053 0.00042
all 0.10200 0.00389 0.00041
all 0.10300 0.00623 0.00040
all 0.10400 0.00228 0.00040
all 0.10500 0.00784 0.00039
all 0.10600 0.00396 0.00038
all 0.10700 0.00130 0.00038
all 0.10800 0.00475 0.00037
all 0.10900 0.00306 0.00037
all 0.11000 0.00459 0.00036
all 0.11100 0.00150 0.00036
all 0.11200 0.00483 0.00036
all 0.11300 0.00189 0.00035
all 0.11400 -0.00037 0.00035
all 0.11500 0.00440 0.00035
all 0.11600 0.00056 0.00034
all 0.11700 0.00015 0.00034
all 0.11800 0.00093 0.00034
all 0.11900 0.00196 0.00033
all 0.12000 0.00223 0.00033
