jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03101 0.03043
all 0.02100 0.03032 0.03018
all 0.02200 0.03222 0.02994
all 0.02300 0.03074 0.02971
all 0.02400 0.02929 0.02947
all 0.02500 0.02931 0.02923
all 0.02600 0.02886 0.02900
all 0.02700 0.02963 0.02877
all 0.02800 0.02700 0.02854
all 0.02900 0.02861 0.02832
all 0.03000 0.02618 0.02809
all 0.03100 0.02665 0.02787
all 0.03200 0.02767 0.02765
all 0.03300 0.02835 0.02743
all 0.03400 0.02906 0.02721
all 0.03500 0.02647 0.02699
all 0.03600 0.02785 0.02678
all 0.03700 0.02720 0.02657
all 0.03800 0.02708 0.02635
all 0.03900 0.02672 0.02615
all 0.04000 0.02471 0.02594
all 0.04100 0.02428 0.02573
all 0.04200 0.02458 0.02553
all 0.04300 0.02417 0.02532
all 0.04400 0.02492 0.02512
all 0.04500 0.02523 0.02492
all 0.04600 0.02439 0.02473
all 0.04700 0.02465 0.02453
all 0.04800 0.02677 0.02434
all 0.04900 0.02377 0.02414
all 0.05000 0.02439 0.02395
all 0.05100 0.02357 0.02376
all 0.05200 0.02220 0.02357
all 0.05300 0.02326 0.02339
all 0.05400 0.02339 0.02320
all 0.05500 0.02274 0.02302
all 0.05600 0.02364 0.02283
all 0.05700 0.02336 0.02265
all 0.05800 0.02170 0.02247
all 0.05900 0.02151 0.02230
all 0.06000 0.02203 0.02212
all 0.06100 0.02172 0.02194
all 0.06200 0.02152 0.02177
all 0.06300 0.02080 0.02160
all 0.06400 0.02235 0.02143
all 0.06500 0.02032 0.02126
all 0.06600 0.02047 0.02109
all 0.06700 0.02105 0.02092
all 0.06800 0.02147 0.02075
all 0.06900 0.02199 0.02059
all 0.07000 0.01936 0.02043
all 0.07100 0.02064 0.02027
all 0.07200 0.02117 0.02011
all 0.07300 0.01985 0.01995
all 0.07400 0.02017 0.01979
all 0.07500 0.01920 0.01963
all 0.07600 0.01896 0.01948
all 0.07700 0.01885 0.01932
all 0.07800 0.01858 0.01917
all 0.07900 0.02075 0.01902
all 0.08000 0.01831 0.01887
all 0.08100 0.01757 0.01872
all 0.08200 0.01814 0.01857
all 0.08300 0.01712 0.01842
all 0.08400 0.01812 0.01828
all 0.08500 0.01876 0.01813
all 0.08600 0.01614 0.01799
all 0.08700 0.01609 0.01785
all 0.08800 0.01807 0.01771
all 0.08900 0.01873 0.01757
all 0.09000 0.01806 0.01743
all 0.09100 0.01838 0.01729
all 0.09200 0.01821 0.01715
all 0.09300 0.01639 0.01702
all 0.09400 0.01672 0.01688
all 0.09500 0.01699 0.01675
all 0.09600 0.01558 0.01662
all 0.09700 0.01615 0.01649
all 0.09800 0.01608 0.01636
all 0.09900 0.01630 0.01623
all 0.10000 0.01580 0.01610
all 0.10100 0.01677 0.01597
all 0.10200 0.01355 0.01585
all 0.10300 0.01623 0.01572
all 0.10400 0.01458 0.01560
all 0.10500 0.01448 0.01547
all 0.10600 0.01566 0.01535
all 0.10700 0.01453 0.01523
all 0.10800 0.01325 0.01511
all 0.10900 0.01378 0.01499
all 0.11000 0.01321 0.01487
all 0.11100 0.01350 0.01476
all 0.11200 0.01322 0.01464
all 0.11300 0.01295 0.01453
all 0.11400 0.01404 0.01441
all 0.11500 0.01426 0.01430
all 0.11600 0.01388 0.01418
all 0.11700 0.01400 0.01407
all 0.11800 0.01374 0.01396
all 0.11900 0.01381 0.01385
all 0.12000 0.01331 0.01374
all 0.12100 0.01293 0.01364
all 0.12200 0.01356 0.01353
all 0.12300 0.01492 0.01342
all 0.12400 0.01412 0.01332
all 0.12500 0.01494 0.01321
all 0.12600 0.01559 0.01311
all 0.12700 0.01386 0.01300
all 0.12800 0.01288 0.01290
all 0.12900 0.01422 0.01280
all 0.13000 0.01251 0.01270
all 0.13100 0.01239 0.01260
all 0.13200 0.01323 0.01250
all 0.13300 0.01241 0.01240
all 0.13400 0.01167 0.01231
all 0.13500 0.01309 0.01221
all 0.13600 0.01328 0.01211
all 0.13700 0.01210 0.01202
all 0.13800 0.01362 0.01192
all 0.13900 0.01368 0.01183
all 0.14000 0.01255 0.01174
all 0.14100 0.01294 0.01165
all 0.14200 0.01308 0.01155
all 0.14300 0.01128 0.01146
all 0.14400 0.01128 0.01137
all 0.14500 0.01287 0.01129
all 0.14600 0.01107 0.01120
all 0.14700 0.01067 0.01111
all 0.14800 0.01172 0.01102
all 0.14900 0.01182 0.01094
all 0.15000 0.01159 0.01085
all 0.15100 0.01039 0.01077
all 0.15200 0.01015 0.01068
all 0.15300 0.01078 0.01060
all 0.15400 0.01063 0.01051
all 0.15500 0.00991 0.01043
all 0.15600 0.00825 0.01035
