jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03019 0.02979
all 0.02100 0.03047 0.02965
all 0.02200 0.03109 0.02950
all 0.02300 0.03064 0.02936
all 0.02400 0.03001 0.02922
all 0.02500 0.03072 0.02907
all 0.02600 0.02954 0.02893
all 0.02700 0.02827 0.02879
all 0.02800 0.02954 0.02865
all 0.02900 0.02961 0.02851
all 0.03000 0.02874 0.02837
all 0.03100 0.02880 0.02823
all 0.03200 0.02807 0.02809
all 0.03300 0.03277 0.02795
all 0.03400 0.03274 0.02781
all 0.03500 0.02843 0.02768
all 0.03600 0.02907 0.02754
all 0.03700 0.03148 0.02741
all 0.03800 0.02827 0.02727
all 0.03900 0.02937 0.02714
all 0.04000 0.02917 0.02701
all 0.04100 0.02726 0.02687
all 0.04200 0.02737 0.02674
all 0.04300 0.02848 0.02661
all 0.04400 0.02824 0.02648
all 0.04500 0.02703 0.02635
all 0.04600 0.02435 0.02622
all 0.04700 0.02503 0.02609
all 0.04800 0.02695 0.02596
all 0.04900 0.02720 0.02584
all 0.05000 0.02606 0.02571
all 0.05100 0.02457 0.02558
all 0.05200 0.02606 0.02546
all 0.05300 0.02300 0.02533
all 0.05400 0.02392 0.02521
all 0.05500 0.02494 0.02509
all 0.05600 0.02402 0.02496
all 0.05700 0.02488 0.02484
all 0.05800 0.02179 0.02472
all 0.05900 0.02550 0.02460
all 0.06000 0.02232 0.02448
all 0.06100 0.02253 0.02436
all 0.06200 0.02379 0.02424
all 0.06300 0.02130 0.02412
all 0.06400 0.02061 0.02400
all 0.06500 0.02027 0.02388
all 0.06600 0.02313 0.02376
all 0.06700 0.02309 0.02365
all 0.06800 0.02156 0.02353
all 0.06900 0.02245 0.02342
all 0.07000 0.02031 0.02330
all 0.07100 0.02188 0.02319
all 0.07200 0.02159 0.02307
all 0.07300 0.02330 0.02296
all 0.07400 0.02110 0.02285
all 0.07500 0.02268 0.02273
all 0.07600 0.02434 0.02262
all 0.07700 0.02248 0.02251
all 0.07800 0.02129 0.02240
all 0.07900 0.02067 0.02229
all 0.08000 0.02100 0.02218
all 0.08100 0.02180 0.02207
all 0.08200 0.01995 0.02196
all 0.08300 0.02125 0.02186
all 0.08400 0.02117 0.02175
all 0.08500 0.02228 0.02164
all 0.08600 0.02372 0.02153
all 0.08700 0.01937 0.02143
all 0.08800 0.02098 0.02132
all 0.08900 0.02349 0.02122
all 0.09000 0.02158 0.02111
all 0.09100 0.02155 0.02101
all 0.09200 0.02263 0.02091
all 0.09300 0.01959 0.02080
all 0.09400 0.01981 0.02070
all 0.09500 0.02108 0.02060
all 0.09600 0.02208 0.02050
all 0.09700 0.01837 0.02040
all 0.09800 0.02089 0.02030
all 0.09900 0.01913 0.02020
all 0.10000 0.02217 0.02010
all 0.10100 0.01971 0.02000
all 0.10200 0.02014 0.01990
all 0.10300 0.02005 0.01980
all 0.10400 0.01873 0.01970
all 0.10500 0.02111 0.01961
all 0.10600 0.01862 0.01951
all 0.10700 0.02039 0.01942
all 0.10800 0.02051 0.01932
all 0.10900 0.02134 0.01922
all 0.11000 0.01817 0.01913
all 0.11100 0.02006 0.01904
all 0.11200 0.02036 0.01894
all 0.11300 0.01876 0.01885
all 0.11400 0.02020 0.01876
all 0.11500 0.01864 0.01866
all 0.11600 0.01928 0.01857
all 0.11700 0.02018 0.01848
all 0.11800 0.01740 0.01839
all 0.11900 0.01688 0.01830
all 0.12000 0.01715 0.01821
all 0.12100 0.01872 0.01812
all 0.12200 0.01732 0.01803
all 0.12300 0.01770 0.01794
all 0.12400 0.01736 0.01785
all 0.12500 0.01829 0.01776
all 0.12600 0.01818 0.01768
all 0.12700 0.01597 0.01759
all 0.12800 0.01744 0.01750
all 0.12900 0.01827 0.01742
all 0.13000 0.01667 0.01733
all 0.13100 0.01749 0.01724
all 0.13200 0.01742 0.01716
all 0.13300 0.01697 0.01707
all 0.13400 0.01576 0.01699
all 0.13500 0.01514 0.01691
all 0.13600 0.01653 0.01682
all 0.13700 0.01599 0.01674
all 0.13800 0.01503 0.01666
all 0.13900 0.01566 0.01657
all 0.14000 0.01531 0.01649
all 0.14100 0.01528 0.01641
all 0.14200 0.01679 0.01633
all 0.14300 0.01549 0.01625
all 0.14400 0.01575 0.01617
all 0.14500 0.01476 0.01609
all 0.14600 0.01600 0.01601
all 0.14700 0.01505 0.01593
all 0.14800 0.01484 0.01585
all 0.14900 0.01474 0.01577
all 0.15000 0.01387 0.01570
all 0.15100 0.01459 0.01562
all 0.15200 0.01527 0.01554
all 0.15300 0.01508 0.01546
all 0.15400 0.01455 0.01539
all 0.15500 0.01601 0.01531
all 0.15600 0.01510 0.01524
all 0.15700 0.01440 0.01516
all 0.15800 0.01450 0.01509
all 0.15900 0.01499 0.01501
all 0.16000 0.01435 0.01494
all 0.16100 0.01495 0.01486
all 0.16200 0.01512 0.01479
all 0.16300 0.01531 0.01472
all 0.16400 0.01554 0.01464
all 0.16500 0.01329 0.01457
all 0.16600 0.01414 0.01450
all 0.16700 0.01404 0.01443
all 0.16800 0.01438 0.01436
all 0.16900 0.01474 0.01428
all 0.17000 0.01378 0.01421
all 0.17100 0.01287 0.01414
all 0.17200 0.01405 0.01407
all 0.17300 0.01413 0.01400
all 0.17400 0.01324 0.01393
all 0.17500 0.01226 0.01387
all 0.17600 0.01307 0.01380
all 0.17700 0.01380 0.01373
all 0.17800 0.01357 0.01366
all 0.17900 0.01421 0.01359
all 0.18000 0.01322 0.01353
all 0.18100 0.01441 0.01346
all 0.18200 0.01429 0.01339
all 0.18300 0.01327 0.01333
all 0.18400 0.01320 0.01326
all 0.18500 0.01294 0.01319
all 0.18600 0.01392 0.01313
all 0.18700 0.01367 0.01306
all 0.18800 0.01359 0.01300
all 0.18900 0.01191 0.01293
all 0.19000 0.01326 0.01287
all 0.19100 0.01288 0.01281
all 0.19200 0.01347 0.01274
all 0.19300 0.01247 0.01268
all 0.19400 0.01213 0.01262
all 0.19500 0.01226 0.01255
all 0.19600 0.01238 0.01249
all 0.19700 0.01291 0.01243
all 0.19800 0.01083 0.01237
all 0.19900 0.01276 0.01231
all 0.20000 0.01260 0.01224
all 0.20100 0.01272 0.01218
all 0.20200 0.01310 0.01212
all 0.20300 0.01291 0.01206
all 0.20400 0.01207 0.01200
all 0.20500 0.01081 0.01194
