jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.02838 0.02878
all 0.02100 0.02821 0.02811
all 0.02200 0.03007 0.02745
all 0.02300 0.03114 0.02681
all 0.02400 0.02843 0.02618
all 0.02500 0.02287 0.02556
all 0.02600 0.02580 0.02496
all 0.02700 0.02392 0.02438
all 0.02800 0.02499 0.02381
all 0.02900 0.02516 0.02325
all 0.03000 0.02324 0.02270
all 0.03100 0.02060 0.02217
all 0.03200 0.01978 0.02165
all 0.03300 0.02077 0.02114
all 0.03400 0.01968 0.02064
all 0.03500 0.01993 0.02016
all 0.03600 0.01946 0.01969
all 0.03700 0.02114 0.01922
all 0.03800 0.01791 0.01877
all 0.03900 0.01618 0.01833
all 0.04000 0.01595 0.01790
all 0.04100 0.01615 0.01748
all 0.04200 0.01727 0.01707
all 0.04300 0.01705 0.01667
all 0.04400 0.01731 0.01627
all 0.04500 0.01482 0.01589
all 0.04600 0.01408 0.01552
all 0.04700 0.01395 0.01515
all 0.04800 0.01326 0.01479
all 0.04900 0.01173 0.01445
all 0.05000 0.01489 0.01411
all 0.05100 0.01392 0.01377
all 0.05200 0.01433 0.01345
all 0.05300 0.01298 0.01313
all 0.05400 0.01269 0.01282
all 0.05500 0.01232 0.01252
all 0.05600 0.01396 0.01223
all 0.05700 0.01222 0.01194
all 0.05800 0.01031 0.01165
all 0.05900 0.00839 0.01138
all 0.06000 0.01000 0.01111
all 0.06100 0.00875 0.01085
all 0.06200 0.00989 0.01059
all 0.06300 0.00972 0.01034
all 0.06400 0.00977 0.01010
all 0.06500 0.01038 0.00986
all 0.06600 0.00945 0.00963
all 0.06700 0.01153 0.00940
all 0.06800 0.01012 0.00918
all 0.06900 0.00664 0.00896
all 0.07000 0.01083 0.00875
all 0.07100 0.00577 0.00854
all 0.07200 0.00900 0.00834
all 0.07300 0.00819 0.00814
all 0.07400 0.00857 0.00795
all 0.07500 0.00853 0.00776
all 0.07600 0.00585 0.00757
all 0.07700 0.00786 0.00739
all 0.07800 0.00810 0.00722
all 0.07900 0.00654 0.00705
all 0.08000 0.00717 0.00688
all 0.08100 0.00691 0.00672
all 0.08200 0.00661 0.00656
all 0.08300 0.00503 0.00640
all 0.08400 0.00621 0.00625
all 0.08500 0.00659 0.00610
all 0.08600 0.00518 0.00595
all 0.08700 0.00339 0.00581
all 0.08800 0.00643 0.00567
all 0.08900 0.00779 0.00554
all 0.09000 0.00636 0.00540
all 0.09100 0.00595 0.00528
all 0.09200 0.00359 0.00515
all 0.09300 0.00402 0.00503
all 0.09400 0.00459 0.00491
all 0.09500 0.00603 0.00479
all 0.09600 0.00474 0.00467
all 0.09700 0.00352 0.00456
all 0.09800 0.00539 0.00445
all 0.09900 0.00454 0.00434
all 0.10000 0.00431 0.00424
all 0.10100 0.00461 0.00414
all 0.10200 0.00546 0.00404
all 0.10300 0.00501 0.00394
all 0.10400 0.00462 0.00385
all 0.10500 0.00451 0.00375
all 0.10600 0.00402 0.00366
all 0.10700 0.00259 0.00357
all 0.10800 0.00487 0.00349
all 0.10900 0.00235 0.00340
all 0.11000 0.00487 0.00332
all 0.11100 0.00311 0.00324
all 0.11200 0.00558 0.00316
all 0.11300 0.00371 0.00308
all 0.11400 0.00249 0.00301
all 0.11500 0.00346 0.00294
all 0.11600 0.00228 0.00286
all 0.11700 0.00410 0.00279
all 0.11800 0.00271 0.00273
all 0.11900 0.00514 0.00266
all 0.12000 0.00312 0.00259
all 0.12100 0.00501 0.00253
all 0.12200 0.00233 0.00247
all 0.12300 0.00341 0.00241
all 0.12400 0.00260 0.00235
all 0.12500 0.00281 0.00229
all 0.12600 0.00179 0.00223
all 0.12700 0.00079 0.00218
all 0.12800 0.00291 0.00213
all 0.12900 0.00275 0.00207
all 0.13000 0.00479 0.00202
all 0.13100 0.00466 0.00197
all 0.13200 0.00330 0.00192
all 0.13300 0.00257 0.00187
all 0.13400 0.00198 0.00183
all 0.13500 0.00375 0.00178
all 0.13600 0.00430 0.00174
all 0.13700 0.00101 0.00169
all 0.13800 0.00228 0.00165
all 0.13900 0.00149 0.00161
all 0.14000 0.00237 0.00157
all 0.14100 0.00021 0.00153
all 0.14200 -0.00031 0.00149
