jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03590 0.03420
all 0.02100 0.03487 0.03384
all 0.02200 0.03353 0.03349
all 0.02300 0.03398 0.03314
all 0.02400 0.03531 0.03279
all 0.02500 0.03195 0.03244
all 0.02600 0.03148 0.03210
all 0.02700 0.03128 0.03177
all 0.02800 0.02932 0.03143
all 0.02900 0.03135 0.03110
all 0.03000 0.03061 0.03078
all 0.03100 0.03106 0.03045
all 0.03200 0.03094 0.03014
all 0.03300 0.02953 0.02982
all 0.03400 0.02837 0.02951
all 0.03500 0.02916 0.02920
all 0.03600 0.02704 0.02889
all 0.03700 0.02631 0.02859
all 0.03800 0.02668 0.02829
all 0.03900 0.02865 0.02799
all 0.04000 0.02499 0.02770
all 0.04100 0.02649 0.02740
all 0.04200 0.02438 0.02712
all 0.04300 0.02674 0.02683
all 0.04400 0.02525 0.02655
all 0.04500 0.02694 0.02627
all 0.04600 0.02781 0.02600
all 0.04700 0.02564 0.02572
all 0.04800 0.02400 0.02545
all 0.04900 0.02166 0.02518
all 0.05000 0.02345 0.02492
all 0.05100 0.02272 0.02466
all 0.05200 0.02397 0.02440
all 0.05300 0.02210 0.02414
all 0.05400 0.02539 0.02389
all 0.05500 0.02576 0.02364
all 0.05600 0.02345 0.02339
all 0.05700 0.02413 0.02314
all 0.05800 0.02479 0.02290
all 0.05900 0.02105 0.02266
all 0.06000 0.02128 0.02242
all 0.06100 0.02299 0.02218
all 0.06200 0.02397 0.02195
all 0.06300 0.02449 0.02172
all 0.06400 0.02230 0.02149
all 0.06500 0.02060 0.02126
all 0.06600 0.02018 0.02104
all 0.06700 0.02261 0.02082
all 0.06800 0.01877 0.02060
all 0.06900 0.02047 0.02038
all 0.07000 0.02112 0.02017
all 0.07100 0.01964 0.01996
all 0.07200 0.01995 0.01975
all 0.07300 0.02101 0.01954
all 0.07400 0.01932 0.01933
all 0.07500 0.02293 0.01913
all 0.07600 0.02107 0.01893
all 0.07700 0.02214 0.01873
all 0.07800 0.02083 0.01853
