jackknife_run bin_cM average_cov exp_fit
all 0.02000 0.03375 0.03380
all 0.02100 0.03178 0.03319
all 0.02200 0.03293 0.03259
all 0.02300 0.03148 0.03200
all 0.02400 0.03262 0.03142
all 0.02500 0.02969 0.03085
all 0.02600 0.03204 0.03029
all 0.02700 0.02880 0.02974
all 0.02800 0.03031 0.02921
all 0.02900 0.03037 0.02868
all 0.03000 0.02728 0.02816
all 0.03100 0.02617 0.02765
all 0.03200 0.02854 0.02715
all 0.03300 0.02691 0.02666
all 0.03400 0.02659 0.02618
all 0.03500 0.02469 0.02570
all 0.03600 0.02350 0.02524
all 0.03700 0.02193 0.02478
all 0.03800 0.02352 0.02434
all 0.03900 0.02243 0.02390
all 0.04000 0.02217 0.02347
all 0.04100 0.02233 0.02304
all 0.04200 0.02137 0.02263
all 0.04300 0.02145 0.02222
all 0.04400 0.02414 0.02182
all 0.04500 0.02383 0.02143
all 0.04600 0.02139 0.02104
all 0.04700 0.02125 0.02066
all 0.04800 0.02018 0.02029
all 0.04900 0.01776 0.01992
all 0.05000 0.01809 0.01957
all 0.05100 0.01824 0.01921
all 0.05200 0.01928 0.01887
all 0.05300 0.01992 0.01853
all 0.05400 0.01885 0.01820
all 0.05500 0.01743 0.01787
all 0.05600 0.01858 0.01755
all 0.05700 0.01680 0.01723
all 0.05800 0.01423 0.01692
all 0.05900 0.01580 0.01662
all 0.06000 0.01805 0.01632
all 0.06100 0.01637 0.01603
all 0.06200 0.01640 0.01574
all 0.06300 0.01622 0.01546
all 0.06400 0.01669 0.01519
all 0.06500 0.01587 0.01491
all 0.06600 0.01655 0.01465
all 0.06700 0.01610 0.01439
all 0.06800 0.01431 0.01413
all 0.06900 0.01591 0.01388
all 0.07000 0.01476 0.01363
all 0.07100 0.01494 0.01339
all 0.07200 0.01345 0.01315
all 0.07300 0.01639 0.01291
all 0.07400 0.01529 0.01268
all 0.07500 0.01312 0.01246
all 0.07600 0.01319 0.01223
all 0.07700 0.01287 0.01202
all 0.07800 0.01401 0.01180
all 0.07900 0.01054 0.01159
all 0.08000 0.01246 0.01139
all 0.08100 0.01197 0.01119
all 0.08200 0.01187 0.01099
all 0.08300 0.00928 0.01079
all 0.08400 0.01052 0.01060
all 0.08500 0.00948 0.01041
all 0.08600 0.00678 0.01023
all 0.08700 0.00940 0.01005
all 0.08800 0.01101 0.00987
all 0.08900 0.00852 0.00970
all 0.09000 0.00909 0.00953
all 0.09100 0.00868 0.00936
all 0.09200 0.00828 0.00919
all 0.09300 0.00911 0.00903
all 0.09400 0.00752 0.00887
all 0.09500 0.00574 0.00872
all 0.09600 0.00848 0.00856
all 0.09700 0.00844 0.00841
all 0.09800 0.00779 0.00827
all 0.09900 0.00876 0.00812
all 0.10000 0.00918 0.00798
all 0.10100 0.00790 0.00784
all 0.10200 0.00810 0.00770
all 0.10300 0.00750 0.00757
all 0.10400 0.00771 0.00744
all 0.10500 0.00716 0.00731
all 0.10600 0.00825 0.00718
all 0.10700 0.00611 0.00705
all 0.10800 0.00718 0.00693
all 0.10900 0.00684 0.00681
all 0.11000 0.00589 0.00669
all 0.11100 0.00622 0.00658
all 0.11200 0.00776 0.00646
all 0.11300 0.00728 0.00635
all 0.11400 0.00514 0.00624
all 0.11500 0.00471 0.00613
all 0.11600 0.00617 0.00603
all 0.11700 0.00574 0.00592
all 0.11800 0.00704 0.00582
all 0.11900 0.00602 0.00572
all 0.12000 0.00636 0.00562
all 0.12100 0.00592 0.00553
all 0.12200 0.00597 0.00543
all 0.12300 0.00552 0.00534
all 0.12400 0.00442 0.00525
all 0.12500 0.00490 0.00516
all 0.12600 0.00446 0.00507
all 0.12700 0.00541 0.00498
all 0.12800 0.00592 0.00490
all 0.12900 0.00464 0.00482
all 0.13000 0.00517 0.00473
all 0.13100 0.00643 0.00465
all 0.13200 0.00623 0.00458
all 0.13300 0.00429 0.00450
all 0.13400 0.00397 0.00442
all 0.13500 0.00391 0.00435
all 0.13600 0.00350 0.00427
